id,eventcode,time,type,meaning,group,checkas,ingroup,unusual,need
1,203,34997,blank,blank space key,0,1,0,0,0
2,199,35023,other,other,0,1,0,0,0
3,200,40034,other,other,0,1,0,0,0
4,200,41048,other,other,0,1,0,0,0
5,200,42061,other,other,0,1,0,0,0
6,7,45081,stimulate,high competance face,1,1,1,0,1
7,201,45367,response,high competance key,1,2,2,0,1
8,7,48093,stimulate,high competance face,2,1,1,0,1
9,202,48519,response,low competance key,2,2,2,0,1
10,5,51106,stimulate,medium competance face,3,1,1,0,1
11,201,51416,response,high competance key,3,2,2,0,1
12,5,54119,stimulate,medium competance face,4,1,1,0,1
13,201,54520,response,high competance key,4,2,2,0,1
14,7,57132,stimulate,high competance face,5,1,1,0,1
15,202,57449,response,low competance key,5,2,2,0,1
16,5,60144,stimulate,medium competance face,6,1,1,0,1
17,202,60457,response,low competance key,6,2,2,0,1
18,5,63160,stimulate,medium competance face,7,1,1,0,1
19,201,63514,response,high competance key,7,2,2,0,1
20,3,66175,stimulate,low competance face,8,1,1,0,1
21,202,66538,response,low competance key,8,2,2,0,1
22,3,69189,stimulate,low competance face,9,1,1,0,1
23,202,69547,response,low competance key,9,2,2,0,1
24,7,72205,stimulate,high competance face,10,1,1,0,1
25,202,72523,response,low competance key,10,2,2,0,1
26,7,75220,stimulate,high competance face,11,1,1,0,1
27,201,75531,response,high competance key,11,2,2,0,1
28,5,78233,stimulate,medium competance face,12,1,1,0,1
29,201,78604,response,high competance key,12,2,2,0,1
30,3,81247,stimulate,low competance face,13,1,1,0,1
31,202,81612,response,low competance key,13,2,2,0,1
32,3,84259,stimulate,low competance face,14,1,1,0,1
33,201,84589,response,high competance key,14,2,2,0,1
34,3,87276,stimulate,low competance face,15,1,1,0,1
35,202,87613,response,low competance key,15,2,2,0,1
36,3,90288,stimulate,low competance face,16,1,1,0,1
37,201,90542,response,high competance key,16,2,2,0,1
38,7,93301,stimulate,high competance face,17,1,1,0,1
39,202,93662,response,low competance key,17,2,2,0,1
40,3,96313,stimulate,low competance face,18,1,1,0,1
41,201,96607,response,high competance key,18,2,2,0,1
42,7,99329,stimulate,high competance face,19,1,1,0,1
43,202,99599,response,low competance key,19,2,2,0,1
44,3,102344,stimulate,low competance face,20,1,1,0,1
45,201,102639,response,high competance key,20,2,2,0,1
46,7,105356,stimulate,high competance face,21,1,1,0,1
47,201,105632,response,high competance key,21,2,2,0,1
48,5,108367,stimulate,medium competance face,22,1,1,0,1
49,202,108736,response,low competance key,22,2,2,0,1
50,3,111378,stimulate,low competance face,23,1,1,0,1
51,202,111793,response,low competance key,23,2,2,0,1
52,7,114389,stimulate,high competance face,24,1,1,0,1
53,201,114753,response,high competance key,24,2,2,0,1
54,201,114961,response,high competance key,24,1,2,1,0
55,3,117405,stimulate,low competance face,25,1,1,0,1
