groupid,stimu,stimu_time,resp,resp_time,rt
1,7,31064,201,31819,755
2,5,33439,202,34076,637
3,3,35997,202,36508,511
4,3,38389,201,38972,583
5,7,40814,201,41421,607
6,7,43222,201,43725,503
7,5,45547,201,46382,835
8,5,48022,202,48574,552
9,3,50456,201,51022,566
10,7,53023,201,53631,608
11,3,55573,202,56143,570
12,5,57981,201,58495,514
13,7,60556,201,61200,644
14,5,62823,201,63376,553
15,7,65165,201,65792,627
16,3,67431,201,68033,602
17,5,69798,201,70353,555
18,3,72240,202,72689,449
19,7,74840,201,75330,490
20,3,77282,201,77746,464
21,5,79682,202,80259,577
22,3,82015,201,82531,516
23,5,84415,201,84931,516
24,7,86807,201,87412,605
25,3,89099,201,89668,569
26,7,91482,201,91988,506
27,5,94065,201,94645,580
28,3,96632,202,97125,493
29,3,99157,201,99717,560
30,5,101657,201,102278,621
31,5,104107,201,104662,555
32,7,106616,201,107351,735
33,7,108832,201,109495,663
34,3,111316,202,112103,787
35,7,113716,201,114264,548
36,5,115941,201,116568,627
37,5,118233,201,118744,511
38,3,120499,201,121065,566
39,7,122766,201,123369,603
40,5,125050,202,125673,623
41,5,127266,201,127818,552
42,7,129708,201,130234,526
43,3,132016,202,132426,410
44,7,134233,201,134843,610
45,3,136750,202,137243,493
46,7,209377,201,209958,581
47,7,211644,201,212150,506
48,5,214202,201,214870,668
49,5,216627,202,217223,596
50,5,219060,201,219607,547
51,5,221360,202,221960,600
52,5,223786,202,224472,686
53,3,226377,202,226936,559
54,3,228827,202,229337,510
55,5,231327,201,231913,586
56,3,233919,201,234601,682
57,7,236161,201,236810,649
58,7,238511,201,239098,587
59,5,240794,201,241354,560
60,7,243353,201,243963,610
61,3,245561,202,246059,498
62,7,247861,201,248603,742
63,7,250411,201,250988,577
64,3,252895,202,253420,525
65,5,255345,201,256093,748
66,7,257611,201,258157,546
67,3,259912,201,260509,597
68,7,262237,201,262894,657
69,3,264828,202,265390,562
70,5,267412,201,267966,554
71,3,269862,202,270543,681
72,7,272204,201,272783,579
73,3,274770,201,275503,733
74,7,277329,201,277856,527
75,3,279804,202,280560,756
76,7,282037,201,282688,651
77,5,284329,201,284929,600
78,5,286862,201,287441,579
79,5,289254,201,290018,764
80,3,291629,201,292290,661
81,5,294062,201,294802,740
82,5,296579,202,297219,640
83,5,298938,201,299539,601
84,3,301429,201,302115,686
85,7,303788,201,304324,536
86,3,306054,201,306740,686
87,7,308630,201,309444,814
88,7,310930,202,311877,947
89,3,313180,201,313989,809
90,3,315488,202,316325,837
91,3,414141,201,414900,759
92,7,731558,201,732243,685
93,7,733866,201,734355,489
94,5,736358,202,737092,734
95,7,738858,201,739476,618
96,3,741433,202,742020,587
97,7,743733,201,744325,592
98,5,746167,202,746997,830
99,7,748717,201,749381,664
100,3,751167,202,751862,695
101,3,753708,201,754262,554
102,5,756217,201,756694,477
103,5,766067,201,766568,501
104,5,777934,201,778490,556
105,7,780384,201,780666,282
106,3,782843,202,783418,575
107,5,787509,201,787979,470
108,5,790059,201,790635,576
109,3,792593,202,793180,587
110,3,1030583,202,1031295,712
111,3,1032908,202,1033551,643
112,7,1035416,201,1036000,584
113,7,1037633,201,1038176,543
114,3,1040183,202,1040752,569
115,7,1042666,201,1043233,567
116,7,1045116,201,1045841,725
117,7,1047566,201,1048209,643
118,3,1050133,202,1050738,605
119,5,1052633,202,1053186,553
120,5,1054842,201,1055458,616
121,5,1057092,201,1057715,623
122,7,1059525,201,1060163,638
123,7,1061884,202,1062548,664
124,3,1064359,202,1064964,605
125,5,1066942,201,1067652,710
126,5,1069525,201,1070261,736
127,7,1071842,202,1072757,915
128,7,1074342,201,1075061,719
