trial,respond,type,correct,latancy
1,1,203,-1,800
2,1,199,-1,800
3,1,203,-1,800
4,1,199,-1,800
5,1,200,-1,800
6,1,200,-1,800
7,1,200,-1,800
8,1,7,1,800
9,1,201,-1,800
10,1,5,0,800
11,1,202,-1,800
12,1,3,0,800
13,1,202,-1,800
14,1,3,1,800
15,1,201,-1,800
16,1,7,1,800
17,1,201,-1,800
18,1,7,1,800
19,1,201,-1,800
20,1,5,1,800
21,1,201,-1,800
22,1,5,0,800
23,1,202,-1,800
24,1,3,1,800
25,1,201,-1,800
26,1,7,1,800
27,1,201,-1,800
28,1,3,0,800
29,1,202,-1,800
30,1,5,1,800
31,1,201,-1,800
32,1,7,1,800
33,1,201,-1,800
34,1,5,1,800
35,1,201,-1,800
36,1,7,1,800
37,1,201,-1,800
38,1,3,1,800
39,1,201,-1,800
40,1,5,1,800
41,1,201,-1,800
42,1,3,0,800
43,1,202,-1,800
44,1,7,1,800
45,1,201,-1,800
46,1,3,1,800
47,1,201,-1,800
48,1,5,0,800
49,1,202,-1,800
50,1,3,1,800
51,1,201,-1,800
52,1,5,1,800
53,1,201,-1,800
54,1,7,1,800
55,1,201,-1,800
56,1,3,1,800
57,1,201,-1,800
58,1,7,1,800
59,1,201,-1,800
60,1,5,1,800
61,1,201,-1,800
62,1,3,0,800
63,1,202,-1,800
64,1,3,1,800
65,1,201,-1,800
66,1,5,1,800
67,1,201,-1,800
68,1,5,1,800
69,1,201,-1,800
70,1,7,1,800
71,1,201,-1,800
72,1,7,1,800
73,1,201,-1,800
74,1,3,0,800
75,1,202,-1,800
76,1,7,1,800
77,1,201,-1,800
78,1,5,1,800
79,1,201,-1,800
80,1,5,1,800
81,1,201,-1,800
82,1,3,1,800
83,1,201,-1,800
84,1,7,1,800
85,1,201,-1,800
86,1,5,0,800
87,1,202,-1,800
88,1,5,1,800
89,1,201,-1,800
90,1,7,1,800
91,1,201,-1,800
92,1,3,0,800
93,1,202,-1,800
94,1,7,1,800
95,1,201,-1,800
96,1,3,0,800
97,1,202,-1,800
98,1,203,-1,800
99,1,203,-1,800
100,1,7,1,800
101,1,201,-1,800
102,1,7,1,800
103,1,201,-1,800
104,1,5,1,800
105,1,201,-1,800
106,1,5,0,800
107,1,202,-1,800
108,1,5,1,800
109,1,201,-1,800
110,1,5,0,800
111,1,202,-1,800
112,1,5,0,800
113,1,202,-1,800
114,1,3,0,800
115,1,202,-1,800
116,1,3,0,800
117,1,202,-1,800
118,1,5,1,800
119,1,201,-1,800
120,1,3,1,800
121,1,201,-1,800
122,1,7,1,800
123,1,201,-1,800
124,1,7,1,800
