groupid,stimu,stimu_time,resp,resp_time,rt
1,7,33257,201,33801,544
2,7,35582,202,36298,716
3,7,38115,202,38890,775
4,5,40524,202,41178,654
5,5,42824,201,43371,547
6,3,45207,202,45611,404
7,5,47674,202,48395,721
8,5,50082,202,50652,570
9,5,52299,202,52924,625
10,3,54708,202,55276,568
11,7,57216,202,57837,621
12,7,59816,201,60221,405
13,7,62241,201,62766,525
14,3,64816,202,65550,734
15,7,67266,202,68030,764
16,3,69766,202,70319,553
17,3,71983,202,72511,528
18,5,74458,202,75007,549
19,3,77050,202,77568,518
20,5,79383,202,79840,457
21,7,81783,201,82224,441
22,3,84083,202,84689,606
23,5,86367,202,86945,578
24,3,88692,202,89473,781
25,5,91142,202,91618,476
26,5,93434,202,93922,488
27,3,95942,202,96483,541
28,7,98284,201,98931,647
29,3,100725,201,101171,446
30,7,103126,201,103732,606
31,7,105684,202,106388,704
32,5,107951,202,108612,661
33,7,110359,202,111061,702
34,7,112709,202,113205,496
35,7,114984,201,115493,509
36,3,117359,202,118086,727
37,5,119576,202,120214,638
38,3,121976,202,122758,782
39,5,124401,202,125047,646
40,7,126868,201,127623,755
41,5,129418,202,130119,701
42,3,131926,202,132424,498
43,3,134376,202,135160,784
44,3,136776,202,137289,513
45,5,139043,202,139497,454
46,5,180486,202,181199,713
47,7,182719,201,183311,592
48,3,185261,202,185680,419
49,5,187853,201,188528,675
50,3,190195,202,190848,653
51,5,192711,202,193441,730
52,3,195170,201,196177,1007
53,5,197745,201,198690,945
54,3,200136,202,200834,698
55,7,202470,201,203250,780
56,5,204987,201,205587,600
57,7,207195,202,207875,680
58,3,209762,202,210451,689
59,3,212278,202,212932,654
60,3,214812,202,215428,616
61,3,217395,202,218100,705
62,7,219929,202,220453,524
63,7,222454,201,222869,415
64,7,224695,201,225189,494
65,3,227129,202,227766,637
66,7,229496,202,230198,702
67,3,231971,202,232551,580
68,3,234179,202,234791,612
69,3,236596,202,237239,643
70,5,239079,202,239656,577
71,5,241588,201,242152,564
72,5,243813,202,244504,691
