id,eventcode,col3,col4,col5,time
1,203,0,0,0.0000,23288
2,199,0,0,0.0000,23298
3,203,0,0,0.0000,23288
4,199,0,0,0.0000,23298
5,200,0,0,0.0000,28315
6,200,0,0,0.0000,29332
7,200,0,0,0.0000,30349
8,7,0,0,0.0000,33257
9,201,0,0,0.0000,33801
10,7,0,0,0.0000,35582
11,202,0,0,0.0000,36298
12,7,0,0,0.0000,38115
13,202,0,0,0.0000,38890
14,5,0,0,0.0000,40524
15,202,0,0,0.0000,41178
16,5,0,0,0.0000,42824
17,201,0,0,0.0000,43371
18,3,0,0,0.0000,45207
19,202,0,0,0.0000,45611
20,5,0,0,0.0000,47674
21,202,0,0,0.0000,48395
22,5,0,0,0.0000,50082
23,202,0,0,0.0000,50652
24,5,0,0,0.0000,52299
25,202,0,0,0.0000,52924
26,3,0,0,0.0000,54708
27,202,0,0,0.0000,55276
28,7,0,0,0.0000,57216
29,202,0,0,0.0000,57837
30,7,0,0,0.0000,59816
31,201,0,0,0.0000,60221
32,7,0,0,0.0000,62241
33,201,0,0,0.0000,62766
34,3,0,0,0.0000,64816
35,202,0,0,0.0000,65550
36,7,0,0,0.0000,67266
37,202,0,0,0.0000,68030
38,3,0,0,0.0000,69766
39,202,0,0,0.0000,70319
40,3,0,0,0.0000,71983
41,202,0,0,0.0000,72511
42,5,0,0,0.0000,74458
43,202,0,0,0.0000,75007
44,3,0,0,0.0000,77050
45,202,0,0,0.0000,77568
46,5,0,0,0.0000,79383
47,202,0,0,0.0000,79840
48,7,0,0,0.0000,81783
49,201,0,0,0.0000,82224
50,3,0,0,0.0000,84083
51,202,0,0,0.0000,84689
52,5,0,0,0.0000,86367
53,202,0,0,0.0000,86945
54,3,0,0,0.0000,88692
55,202,0,0,0.0000,89473
56,5,0,0,0.0000,91142
57,202,0,0,0.0000,91618
58,5,0,0,0.0000,93434
59,202,0,0,0.0000,93922
60,3,0,0,0.0000,95942
61,202,0,0,0.0000,96483
62,7,0,0,0.0000,98284
63,201,0,0,0.0000,98931
64,3,0,0,0.0000,100725
65,201,0,0,0.0000,101171
66,7,0,0,0.0000,103126
67,201,0,0,0.0000,103732
68,7,0,0,0.0000,105684
69,202,0,0,0.0000,106388
70,5,0,0,0.0000,107951
71,202,0,0,0.0000,108612
72,7,0,0,0.0000,110359
73,202,0,0,0.0000,111061
74,7,0,0,0.0000,112709
75,202,0,0,0.0000,113205
76,7,0,0,0.0000,114984
77,201,0,0,0.0000,115493
78,3,0,0,0.0000,117359
79,202,0,0,0.0000,118086
80,5,0,0,0.0000,119576
81,202,0,0,0.0000,120214
82,3,0,0,0.0000,121976
83,202,0,0,0.0000,122758
84,5,0,0,0.0000,124401
85,202,0,0,0.0000,125047
86,7,0,0,0.0000,126868
87,201,0,0,0.0000,127623
88,5,0,0,0.0000,129418
89,202,0,0,0.0000,130119
90,3,0,0,0.0000,131926
91,202,0,0,0.0000,132424
92,3,0,0,0.0000,134376
93,202,0,0,0.0000,135160
94,3,0,0,0.0000,136776
95,202,0,0,0.0000,137289
96,5,0,0,0.0000,139043
97,202,0,0,0.0000,139497
98,203,0,0,0.0000,175518
99,5,0,0,0.0000,180486
100,202,0,0,0.0000,181199
101,7,0,0,0.0000,182719
102,201,0,0,0.0000,183311
103,3,0,0,0.0000,185261
104,202,0,0,0.0000,185680
105,5,0,0,0.0000,187853
106,201,0,0,0.0000,188528
107,3,0,0,0.0000,190195
108,202,0,0,0.0000,190848
109,5,0,0,0.0000,192711
110,202,0,0,0.0000,193441
111,3,0,0,0.0000,195170
112,201,0,0,0.0000,196177
113,5,0,0,0.0000,197745
114,201,0,0,0.0000,198690
115,3,0,0,0.0000,200136
116,202,0,0,0.0000,200834
117,7,0,0,0.0000,202470
118,201,0,0,0.0000,203250
119,5,0,0,0.0000,204987
120,201,0,0,0.0000,205587
121,7,0,0,0.0000,207195
122,202,0,0,0.0000,207875
123,3,0,0,0.0000,209762
124,202,0,0,0.0000,210451
125,3,0,0,0.0000,212278
126,202,0,0,0.0000,212932
127,3,0,0,0.0000,214812
128,202,0,0,0.0000,215428
129,3,0,0,0.0000,217395
