[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	189
[Rejected]	4858
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
0.81375 	0.71440 	0.80945 	0.90660 	0.85375 	0.75185 	0.68475 	0.71645 	0.65835 	0.56520 	0.43040 	0.66470 	0.53260 	0.53580 	0.15750 	0.50635 	0.53540 	0.01425 	0.05030 	0.01090 	0.18785 	-0.03385 	-0.16820 	-0.08985 	-0.01300 	0.02280 	0.28415 
0.82620 	0.72295 	0.83020 	0.92860 	0.85850 	0.77455 	0.72090 	0.76870 	0.67970 	0.57140 	0.47470 	0.72555 	0.57630 	0.55315 	0.20415 	0.55720 	0.56880 	0.07815 	0.09890 	0.06760 	0.23825 	0.02505 	-0.11380 	-0.03625 	0.03955 	0.06680 	0.34445 
0.83450 	0.73295 	0.84890 	0.94810 	0.85885 	0.79055 	0.75475 	0.81785 	0.69855 	0.57405 	0.51690 	0.78040 	0.61410 	0.56950 	0.25070 	0.60515 	0.59830 	0.14560 	0.14875 	0.12505 	0.28875 	0.08290 	-0.05845 	0.01910 	0.09215 	0.11110 	0.40360 
0.83805 	0.74440 	0.86445 	0.96445 	0.85535 	0.79920 	0.78485 	0.86225 	0.71565 	0.57295 	0.55495 	0.82660 	0.64490 	0.58665 	0.29545 	0.64830 	0.62255 	0.21605 	0.19810 	0.18115 	0.33790 	0.13825 	-0.00390 	0.07445 	0.14315 	0.15405 	0.45960 
0.83645 	0.75680 	0.87585 	0.97695 	0.84865 	0.79965 	0.80955 	0.90020 	0.73165 	0.56760 	0.58695 	0.86185 	0.66800 	0.60550 	0.33645 	0.68475 	0.64070 	0.28825 	0.24495 	0.23405 	0.38405 	0.18990 	0.04785 	0.12785 	0.19065 	0.19385 	0.51020 
0.82930 	0.76930 	0.88200 	0.98460 	0.83930 	0.79145 	0.82730 	0.93020 	0.74685 	0.55720 	0.61120 	0.88450 	0.68335 	0.62580 	0.37200 	0.71280 	0.65205 	0.36000 	0.28720 	0.28165 	0.42555 	0.23645 	0.09505 	0.17735 	0.23280 	0.22870 	0.55310 
0.81615 	0.78055 	0.88205 	0.98660 	0.82770 	0.77435 	0.83705 	0.95100 	0.76085 	0.54175 	0.62640 	0.89310 	0.69110 	0.64655 	0.40030 	0.73110 	0.65650 	0.42845 	0.32330 	0.32240 	0.46085 	0.27695 	0.13595 	0.22105 	0.26770 	0.25675 	0.58585 
0.79720 	0.78910 	0.87505 	0.98215 	0.81400 	0.74895 	0.83780 	0.96160 	0.77300 	0.52145 	0.63160 	0.88740 	0.69190 	0.66595 	0.42040 	0.73890 	0.65415 	0.49065 	0.35170 	0.35505 	0.48895 	0.31050 	0.16930 	0.25735 	0.29390 	0.27660 	0.60635 
0.77260 	0.79350 	0.86090 	0.97090 	0.79840 	0.71655 	0.82925 	0.96165 	0.78235 	0.49750 	0.62660 	0.86765 	0.68670 	0.68215 	0.43180 	0.73605 	0.64555 	0.54410 	0.37175 	0.37910 	0.50920 	0.33670 	0.19440 	0.28510 	0.31025 	0.28705 	0.61320 
0.74285 	0.79245 	0.83960 	0.95290 	0.78110 	0.67870 	0.81185 	0.95110 	0.78800 	0.47115 	0.61195 	0.83530 	0.67655 	0.69310 	0.43465 	0.72340 	0.63155 	0.58700 	0.38340 	0.39455 	0.52155 	0.35555 	0.21125 	0.30395 	0.31640 	0.28785 	0.60575 
0.70895 	0.78490 	0.81170 	0.92875 	0.76240 	0.63755 	0.78635 	0.93080 	0.78940 	0.44415 	0.58850 	0.79235 	0.66285 	0.69720 	0.42985 	0.70220 	0.61310 	0.61860 	0.38715 	0.40210 	0.52640 	0.36750 	0.22035 	0.31410 	0.31275 	0.27955 	0.58445 
0.67180 	0.77020 	0.77825 	0.89930 	0.74260 	0.59495 	0.75405 	0.90210 	0.78615 	0.41795 	0.55805 	0.74180 	0.64650 	0.69340 	0.41865 	0.67425 	0.59120 	0.63965 	0.38420 	0.40300 	0.52470 	0.37335 	0.22310 	0.31635 	0.30025 	0.26315 	0.55060 
0.63275 	0.74820 	0.74030 	0.86590 	0.72205 	0.55260 	0.71655 	0.86670 	0.77825 	0.39435 	0.52245 	0.68650 	0.62855 	0.68145 	0.40285 	0.64165 	0.56685 	0.65195 	0.37600 	0.39860 	0.51735 	0.37435 	0.22095 	0.31205 	0.28050 	0.24030 	0.50630 
0.59310 	0.71900 	0.69925 	0.82975 	0.70105 	0.51205 	0.67545 	0.82645 	0.76585 	0.37500 	0.48365 	0.62960 	0.60980 	0.66225 	0.38420 	0.60645 	0.54105 	0.65830 	0.36415 	0.39055 	0.50560 	0.37190 	0.21580 	0.30285 	0.25550 	0.21305 	0.45420 
0.55405 	0.68330 	0.65640 	0.79210 	0.67980 	0.47470 	0.63235 	0.78315 	0.74920 	0.36165 	0.44370 	0.57370 	0.59105 	0.63760 	0.36435 	0.57060 	0.51465 	0.66205 	0.35040 	0.38035 	0.49070 	0.36765 	0.20935 	0.29060 	0.22750 	0.18350 	0.39700 
0.51680 	0.64230 	0.61285 	0.75395 	0.65825 	0.44165 	0.58870 	0.73835 	0.72870 	0.35545 	0.40430 	0.52095 	0.57320 	0.60980 	0.34480 	0.53575 	0.48835 	0.66625 	0.33620 	0.36940 	0.47375 	0.36320 	0.20330 	0.27715 	0.19890 	0.15380 	0.33770 
0.48210 	0.59735 	0.56975 	0.71600 	0.63620 	0.41345 	0.54560 	0.69340 	0.70435 	0.35650 	0.36680 	0.47290 	0.55690 	0.58125 	0.32690 	0.50305 	0.46300 	0.67320 	0.32270 	0.35885 	0.45595 	0.35985 	0.19885 	0.26440 	0.17200 	0.12585 	0.27890 
0.45050 	0.55025 	0.52765 	0.67855 	0.61320 	0.39000 	0.50405 	0.64935 	0.67625 	0.36360 	0.33235 	0.43055 	0.54295 	0.55385 	0.31155 	0.47365 	0.43925 	0.68415 	0.31100 	0.34980 	0.43845 	0.35870 	0.19705 	0.25380 	0.14860 	0.10105 	0.22295 
0.42205 	0.50270 	0.48720 	0.64170 	0.58885 	0.37055 	0.46450 	0.60710 	0.64460 	0.37425 	0.30180 	0.39485 	0.53170 	0.52890 	0.29950 	0.44840 	0.41815 	0.69920 	0.30190 	0.34300 	0.42240 	0.36070 	0.19860 	0.24675 	0.13040 	0.08075 	0.17175 
0.39650 	0.45640 	0.44870 	0.60555 	0.56270 	0.35390 	0.42745 	0.56725 	0.60960 	0.38565 	0.27575 	0.36615 	0.52355 	0.50680 	0.29145 	0.42805 	0.40075 	0.71755 	0.29595 	0.33900 	0.40920 	0.36630 	0.20370 	0.24420 	0.11830 	0.06555 	0.12670 
0.37355 	0.41305 	0.41220 	0.56990 	0.53460 	0.33865 	0.39320 	0.53030 	0.57170 	0.39495 	0.25450 	0.34475 	0.51845 	0.48730 	0.28775 	0.41310 	0.38805 	0.73820 	0.29355 	0.33840 	0.39985 	0.37585 	0.21245 	0.24675 	0.11300 	0.05595 	0.08860 
0.35250 	0.37390 	0.37775 	0.53475 	0.50450 	0.32360 	0.36195 	0.49660 	0.53170 	0.40045 	0.23825 	0.33060 	0.51625 	0.46970 	0.28865 	0.40395 	0.38080 	0.75970 	0.29490 	0.34140 	0.39535 	0.38950 	0.22460 	0.25455 	0.11450 	0.05190 	0.05775 
0.33290 	0.34010 	0.34530 	0.49980 	0.47250 	0.30785 	0.33365 	0.46610 	0.49040 	0.40160 	0.22680 	0.32325 	0.51630 	0.45345 	0.29395 	0.40035 	0.37935 	0.78090 	0.29985 	0.34795 	0.39625 	0.40680 	0.23975 	0.26755 	0.12260 	0.05305 	0.03415 
0.31405 	0.31235 	0.31450 	0.46500 	0.43865 	0.29080 	0.30820 	0.43855 	0.44865 	0.39870 	0.21975 	0.32190 	0.51805 	0.43820 	0.30340 	0.40200 	0.38350 	0.80095 	0.30805 	0.35765 	0.40260 	0.42705 	0.25725 	0.28500 	0.13665 	0.05880 	0.01730 
0.29560 	0.29075 	0.28505 	0.43010 	0.40315 	0.27220 	0.28525 	0.41340 	0.40685 	0.39265 	0.21635 	0.32525 	0.52050 	0.42400 	0.31620 	0.40785 	0.39225 	0.81890 	0.31885 	0.37000 	0.41395 	0.44900 	0.27615 	0.30620 	0.15575 	0.06830 	0.00650 
0.27700 	0.27495 	0.25675 	0.39480 	0.36570 	0.25185 	0.26420 	0.38970 	0.36520 	0.38465 	0.21565 	0.33195 	0.52265 	0.41085 	0.33130 	0.41675 	0.40425 	0.83395 	0.33135 	0.38395 	0.42900 	0.47110 	0.29555 	0.32975 	0.17860 	0.08045 	0.00055 
0.25800 	0.26410 	0.22900 	0.35870 	0.32625 	0.22995 	0.24445 	0.36650 	0.32355 	0.37560 	0.21665 	0.34035 	0.52325 	0.39895 	0.34765 	0.42720 	0.41780 	0.84525 	0.34450 	0.39840 	0.44645 	0.49140 	0.31430 	0.35425 	0.20370 	0.09400 	-0.00175 
0.23850 	0.25690 	0.20155 	0.32150 	0.28485 	0.20700 	0.22515 	0.34250 	0.28170 	0.36650 	0.21815 	0.34870 	0.52115 	0.38825 	0.36395 	0.43765 	0.43115 	0.85190 	0.35720 	0.41215 	0.46460 	0.50825 	0.33135 	0.37820 	0.22950 	0.10775 	-0.00195 
0.21845 	0.25195 	0.17410 	0.28315 	0.24210 	0.18360 	0.20570 	0.31665 	0.23970 	0.35800 	0.21925 	0.35545 	0.51535 	0.37860 	0.37895 	0.44680 	0.44285 	0.85300 	0.36855 	0.42425 	0.48180 	0.52030 	0.34580 	0.40015 	0.25485 	0.12065 	-0.00125 
