[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	189
[Rejected]	4858
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
0.59490 	0.78775 	0.75805 	0.60165 	0.54330 	0.30840 	0.54205 	0.51915 	0.36260 	0.27350 	0.21985 	0.37430 	0.23820 	-0.15225 	0.11095 	0.28750 	0.12855 	-0.13210 	-0.06640 	-0.15340 	-0.01390 	-0.14500 	0.06935 	0.04300 	0.00590 	0.18080 	0.24270 
0.60045 	0.81155 	0.77930 	0.62700 	0.56340 	0.32615 	0.57135 	0.55365 	0.39585 	0.28640 	0.26025 	0.41315 	0.27600 	-0.11125 	0.16020 	0.33510 	0.18655 	-0.10480 	-0.01760 	-0.11565 	0.02900 	-0.10665 	0.10110 	0.07905 	0.05435 	0.20760 	0.27840 
0.60405 	0.82500 	0.79745 	0.64905 	0.57905 	0.34365 	0.59970 	0.58760 	0.42680 	0.29815 	0.30210 	0.45390 	0.31385 	-0.06510 	0.21085 	0.38300 	0.24460 	-0.07065 	0.03230 	-0.07670 	0.07255 	-0.06540 	0.13380 	0.11405 	0.10295 	0.23425 	0.31185 
0.60495 	0.82670 	0.81105 	0.66595 	0.58910 	0.36035 	0.62515 	0.61870 	0.45340 	0.30925 	0.34335 	0.49410 	0.35020 	-0.01615 	0.26070 	0.42920 	0.30050 	-0.03130 	0.08165 	-0.03835 	0.11520 	-0.02270 	0.16630 	0.14675 	0.15045 	0.25955 	0.34180 
0.60230 	0.81620 	0.81890 	0.67610 	0.59280 	0.37535 	0.64580 	0.64440 	0.47355 	0.31965 	0.38180 	0.53110 	0.38340 	0.03310 	0.30745 	0.47155 	0.35185 	0.01090 	0.12835 	-0.00220 	0.15525 	0.01970 	0.19720 	0.17585 	0.19530 	0.28220 	0.36690 
0.59525 	0.79365 	0.81975 	0.67815 	0.58980 	0.38755 	0.65995 	0.66275 	0.48565 	0.32910 	0.41505 	0.56215 	0.41155 	0.07950 	0.34895 	0.50775 	0.39625 	0.05320 	0.17060 	0.02990 	0.19085 	0.05960 	0.22485 	0.20015 	0.23615 	0.30065 	0.38580 
0.58325 	0.76020 	0.81275 	0.67130 	0.58010 	0.39575 	0.66605 	0.67175 	0.48870 	0.33635 	0.44120 	0.58500 	0.43240 	0.12030 	0.38300 	0.53590 	0.43155 	0.09275 	0.20660 	0.05640 	0.22040 	0.09500 	0.24780 	0.21850 	0.27130 	0.31350 	0.39735 
0.56580 	0.71780 	0.79760 	0.65530 	0.56405 	0.39875 	0.66325 	0.67040 	0.48235 	0.34050 	0.45850 	0.59785 	0.44430 	0.15305 	0.40820 	0.55455 	0.45585 	0.12715 	0.23510 	0.07615 	0.24255 	0.12400 	0.26475 	0.23015 	0.29955 	0.31945 	0.40035 
0.54310 	0.66895 	0.77440 	0.63055 	0.54225 	0.39565 	0.65130 	0.65840 	0.46725 	0.34040 	0.46610 	0.59980 	0.44595 	0.17635 	0.42365 	0.56290 	0.46815 	0.15480 	0.25535 	0.08855 	0.25675 	0.14560 	0.27485 	0.23455 	0.31990 	0.31755 	0.39400 
0.51550 	0.61675 	0.74390 	0.59795 	0.51535 	0.38585 	0.63050 	0.63625 	0.44455 	0.33545 	0.46395 	0.59110 	0.43705 	0.18970 	0.42940 	0.56090 	0.46825 	0.17495 	0.26735 	0.09380 	0.26295 	0.15935 	0.27760 	0.23175 	0.33190 	0.30745 	0.37795 
0.48385 	0.56410 	0.70725 	0.55880 	0.48430 	0.36910 	0.60200 	0.60505 	0.41595 	0.32530 	0.45255 	0.57280 	0.41830 	0.19385 	0.42615 	0.54945 	0.45660 	0.18785 	0.27165 	0.09265 	0.26185 	0.16570 	0.27335 	0.22260 	0.33565 	0.28935 	0.35230 
0.44910 	0.51390 	0.66585 	0.51455 	0.44980 	0.34560 	0.56715 	0.56655 	0.38335 	0.30995 	0.43325 	0.54675 	0.39115 	0.18995 	0.41525 	0.52995 	0.43480 	0.19420 	0.26940 	0.08630 	0.25455 	0.16565 	0.26275 	0.20800 	0.33210 	0.26400 	0.31800 
0.41245 	0.46855 	0.62130 	0.46700 	0.41280 	0.31590 	0.52780 	0.52275 	0.34860 	0.28945 	0.40765 	0.51525 	0.35755 	0.17980 	0.39855 	0.50430 	0.40475 	0.19515 	0.26215 	0.07640 	0.24260 	0.16080 	0.24690 	0.18960 	0.32250 	0.23295 	0.27640 
0.37510 	0.42965 	0.57520 	0.41780 	0.37400 	0.28085 	0.48585 	0.47585 	0.31330 	0.26395 	0.37775 	0.48085 	0.31995 	0.16530 	0.37815 	0.47470 	0.36895 	0.19220 	0.25155 	0.06475 	0.22775 	0.15295 	0.22735 	0.16920 	0.30850 	0.19800 	0.22960 
0.33820 	0.39810 	0.52900 	0.36895 	0.33460 	0.24185 	0.44315 	0.42815 	0.27890 	0.23345 	0.34545 	0.44625 	0.28090 	0.14890 	0.35605 	0.44345 	0.33005 	0.18690 	0.23955 	0.05325 	0.21190 	0.14405 	0.20575 	0.14860 	0.29215 	0.16125 	0.18005 
0.30285 	0.37385 	0.48405 	0.32220 	0.29555 	0.20055 	0.40145 	0.38185 	0.24670 	0.19840 	0.31265 	0.41355 	0.24295 	0.13330 	0.33420 	0.41255 	0.29070 	0.18085 	0.22770 	0.04365 	0.19675 	0.13615 	0.18380 	0.12965 	0.27575 	0.12475 	0.13025 
0.26990 	0.35610 	0.44140 	0.27910 	0.25785 	0.15865 	0.36210 	0.33895 	0.21780 	0.15940 	0.28105 	0.38460 	0.20825 	0.12160 	0.31415 	0.38390 	0.25335 	0.17555 	0.21750 	0.03740 	0.18410 	0.13120 	0.16330 	0.11410 	0.26140 	0.09070 	0.08255 
0.23990 	0.34340 	0.40155 	0.24090 	0.22230 	0.11810 	0.32605 	0.30075 	0.19290 	0.11795 	0.25180 	0.36065 	0.17820 	0.11695 	0.29715 	0.35885 	0.21990 	0.17230 	0.21010 	0.03560 	0.17535 	0.13060 	0.14575 	0.10315 	0.25090 	0.06060 	0.03930 
0.21340 	0.33380 	0.36490 	0.20830 	0.18955 	0.08055 	0.29410 	0.26820 	0.17230 	0.07610 	0.22600 	0.34225 	0.15370 	0.12245 	0.28410 	0.33850 	0.19210 	0.17185 	0.20635 	0.03920 	0.17160 	0.13565 	0.13235 	0.09780 	0.24565 	0.03605 	0.00210 
0.19050 	0.32505 	0.33160 	0.18150 	0.16005 	0.04725 	0.26640 	0.24150 	0.15580 	0.03615 	0.20415 	0.32925 	0.13460 	0.14020 	0.27550 	0.32325 	0.17100 	0.17475 	0.20680 	0.04855 	0.17365 	0.14685 	0.12410 	0.09860 	0.24655 	0.01770 	-0.02800 
0.17110 	0.31515 	0.30140 	0.16015 	0.13400 	0.01910 	0.24295 	0.22045 	0.14300 	0.00075 	0.18660 	0.32120 	0.12025 	0.17105 	0.27155 	0.31335 	0.15745 	0.18110 	0.21165 	0.06370 	0.18185 	0.16445 	0.12160 	0.10565 	0.25365 	0.00600 	-0.05040 
0.15485 	0.30200 	0.27400 	0.14375 	0.11145 	-0.00365 	0.22350 	0.20425 	0.13320 	-0.02790 	0.17340 	0.31720 	0.10970 	0.21425 	0.27205 	0.30875 	0.15170 	0.19075 	0.22095 	0.08465 	0.19615 	0.18810 	0.12520 	0.11865 	0.26670 	0.00075 	-0.06525 
0.14130 	0.28420 	0.24890 	0.13125 	0.09220 	-0.02120 	0.20750 	0.19195 	0.12575 	-0.04805 	0.16435 	0.31625 	0.10175 	0.26745 	0.27680 	0.30910 	0.15365 	0.20315 	0.23440 	0.11090 	0.21615 	0.21715 	0.13455 	0.13715 	0.28490 	0.00150 	-0.07295 
0.12980 	0.26075 	0.22575 	0.12160 	0.07605 	-0.03400 	0.19435 	0.18220 	0.11985 	-0.05880 	0.15895 	0.31740 	0.09555 	0.32680 	0.28515 	0.31375 	0.16250 	0.21745 	0.25150 	0.14175 	0.24100 	0.25030 	0.14935 	0.16015 	0.30705 	0.00735 	-0.07440 
0.11945 	0.23160 	0.20395 	0.11360 	0.06225 	-0.04290 	0.18325 	0.17395 	0.11490 	-0.06025 	0.15670 	0.31970 	0.09060 	0.38715 	0.29620 	0.32185 	0.17695 	0.23230 	0.27150 	0.17615 	0.26925 	0.28615 	0.16875 	0.18665 	0.33180 	0.01735 	-0.07070 
0.10975 	0.19705 	0.18305 	0.10620 	0.05025 	-0.04895 	0.17335 	0.16590 	0.11010 	-0.05330 	0.15675 	0.32240 	0.08680 	0.44320 	0.30895 	0.33235 	0.19540 	0.24575 	0.29330 	0.21300 	0.29920 	0.32275 	0.19150 	0.21515 	0.35765 	0.03020 	-0.06315 
0.09985 	0.15830 	0.16260 	0.09845 	0.03920 	-0.05310 	0.16385 	0.15735 	0.10500 	-0.03990 	0.15825 	0.32485 	0.08425 	0.48975 	0.32220 	0.34400 	0.21585 	0.25545 	0.31575 	0.25075 	0.32905 	0.35805 	0.21615 	0.24415 	0.38290 	0.04460 	-0.05310 
0.08930 	0.11700 	0.14215 	0.08960 	0.02855 	-0.05655 	0.15395 	0.14760 	0.09930 	-0.02245 	0.16030 	0.32660 	0.08365 	0.52285 	0.33475 	0.35575 	0.23650 	0.25910 	0.33770 	0.28795 	0.35695 	0.39025 	0.24120 	0.27215 	0.40585 	0.05935 	-0.04190 
0.07780 	0.07530 	0.12155 	0.07925 	0.01805 	-0.06035 	0.14320 	0.13660 	0.09340 	-0.00340 	0.16240 	0.32735 	0.08575 	0.54010 	0.34560 	0.36645 	0.25595 	0.25515 	0.35820 	0.32370 	0.38140 	0.41800 	0.26550 	0.29795 	0.42515 	0.07360 	-0.03060 
