[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	120
[Rejected]	4927
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
0.53040 	0.84915 	0.91645 	0.62955 	0.59480 	0.16425 	0.76685 	0.60265 	0.60800 	0.34225 	0.70675 	0.68400 	0.53205 	0.15190 	0.89250 	0.71885 	0.57250 	0.24875 	0.71100 	0.72265 	0.71750 	0.58335 	0.53040 	0.69620 	0.52390 	0.29440 	0.19425 
0.58020 	0.89330 	0.96190 	0.66810 	0.62125 	0.19830 	0.80935 	0.62320 	0.62250 	0.37520 	0.72365 	0.67165 	0.51530 	0.22705 	0.88365 	0.70125 	0.55195 	0.32605 	0.69930 	0.69640 	0.67720 	0.55535 	0.49425 	0.65525 	0.47200 	0.25905 	0.16560 
0.62425 	0.92800 	0.99960 	0.70275 	0.64085 	0.23350 	0.84695 	0.64160 	0.63065 	0.40610 	0.73810 	0.65510 	0.49290 	0.30690 	0.87355 	0.68375 	0.53315 	0.40235 	0.68880 	0.67160 	0.63820 	0.52755 	0.46020 	0.61780 	0.42425 	0.22665 	0.13810 
0.66285 	0.95425 	1.02990 	0.73380 	0.65360 	0.26930 	0.87995 	0.65850 	0.63320 	0.43475 	0.75035 	0.63560 	0.46675 	0.38745 	0.86225 	0.66635 	0.51590 	0.47445 	0.67930 	0.64835 	0.60070 	0.49975 	0.42845 	0.58355 	0.38095 	0.19685 	0.11160 
0.69685 	0.97365 	1.05400 	0.76195 	0.66015 	0.30545 	0.90885 	0.67475 	0.63170 	0.46125 	0.76080 	0.61455 	0.43885 	0.46475 	0.85000 	0.64925 	0.50025 	0.53985 	0.67085 	0.62680 	0.56480 	0.47170 	0.39915 	0.55240 	0.34215 	0.16970 	0.08620 
0.72735 	0.98830 	1.07310 	0.78815 	0.66155 	0.34190 	0.93430 	0.69130 	0.62800 	0.48570 	0.77005 	0.59350 	0.41120 	0.53545 	0.83705 	0.63245 	0.48595 	0.59645 	0.66355 	0.60695 	0.53065 	0.44320 	0.37290 	0.52420 	0.30750 	0.14515 	0.06205 
0.75555 	1.00015 	1.08865 	0.81325 	0.65895 	0.37860 	0.95715 	0.70905 	0.62395 	0.50780 	0.77855 	0.57395 	0.38535 	0.59670 	0.82365 	0.61615 	0.47290 	0.64235 	0.65730 	0.58890 	0.49835 	0.41410 	0.34985 	0.49855 	0.27670 	0.12330 	0.03930 
0.78255 	1.01120 	1.10180 	0.83780 	0.65325 	0.41495 	0.97790 	0.72855 	0.62130 	0.52725 	0.78650 	0.55740 	0.36255 	0.64580 	0.81010 	0.60030 	0.46050 	0.67595 	0.65200 	0.57250 	0.46785 	0.38395 	0.33035 	0.47520 	0.24895 	0.10395 	0.01810 
0.80905 	1.02275 	1.11345 	0.86185 	0.64495 	0.45005 	0.99695 	0.75005 	0.62075 	0.54335 	0.79410 	0.54465 	0.34375 	0.68085 	0.79645 	0.58500 	0.44840 	0.69565 	0.64745 	0.55770 	0.43895 	0.35245 	0.31435 	0.45355 	0.22360 	0.08695 	-0.00165 
0.83550 	1.03565 	1.12390 	0.88490 	0.63395 	0.48220 	1.01430 	0.77310 	0.62205 	0.55530 	0.80100 	0.53635 	0.32950 	0.70015 	0.78265 	0.57020 	0.43570 	0.70030 	0.64330 	0.54410 	0.41140 	0.31925 	0.30185 	0.43310 	0.19970 	0.07200 	-0.02015 
0.86195 	1.05010 	1.13330 	0.90610 	0.62005 	0.50970 	1.02995 	0.79705 	0.62425 	0.56260 	0.80675 	0.53245 	0.31985 	0.70280 	0.76835 	0.55560 	0.42165 	0.68950 	0.63900 	0.53120 	0.38470 	0.28415 	0.29240 	0.41330 	0.17660 	0.05885 	-0.03725 
0.88825 	1.06580 	1.14130 	0.92455 	0.60305 	0.53105 	1.04330 	0.82070 	0.62550 	0.56500 	0.81055 	0.53255 	0.31465 	0.68880 	0.75325 	0.54085 	0.40525 	0.66360 	0.63400 	0.51830 	0.35820 	0.24690 	0.28550 	0.39355 	0.15370 	0.04715 	-0.05310 
0.91400 	1.08195 	1.14740 	0.93905 	0.58275 	0.54515 	1.05385 	0.84280 	0.62385 	0.56215 	0.81170 	0.53555 	0.31325 	0.65870 	0.73665 	0.52545 	0.38535 	0.62390 	0.62755 	0.50455 	0.33105 	0.20750 	0.28045 	0.37325 	0.13035 	0.03660 	-0.06770 
0.93860 	1.09740 	1.15095 	0.94845 	0.55895 	0.55110 	1.06065 	0.86180 	0.61720 	0.55335 	0.80920 	0.54005 	0.31470 	0.61390 	0.71780 	0.50835 	0.36070 	0.57225 	0.61870 	0.48900 	0.30220 	0.16585 	0.27610 	0.35155 	0.10590 	0.02675 	-0.08130 
0.96135 	1.11060 	1.15105 	0.95160 	0.53175 	0.54860 	1.06290 	0.87600 	0.60385 	0.53770 	0.80190 	0.54430 	0.31750 	0.55620 	0.69575 	0.48860 	0.33010 	0.51075 	0.60650 	0.47040 	0.27065 	0.12190 	0.27105 	0.32770 	0.07965 	0.01690 	-0.09445 
0.98130 	1.11990 	1.14685 	0.94745 	0.50110 	0.53740 	1.05950 	0.88390 	0.58280 	0.51400 	0.78900 	0.54645 	0.32030 	0.48780 	0.66970 	0.46530 	0.29270 	0.44185 	0.59000 	0.44785 	0.23545 	0.07585 	0.26400 	0.30070 	0.05080 	0.00615 	-0.10790 
0.99750 	1.12375 	1.13760 	0.93530 	0.46735 	0.51750 	1.04965 	0.88410 	0.55380 	0.48155 	0.76985 	0.54515 	0.32165 	0.41140 	0.63895 	0.43760 	0.24820 	0.36785 	0.56825 	0.42035 	0.19600 	0.02790 	0.25355 	0.26990 	0.01890 	-0.00620 	-0.12260 
1.00910 	1.12060 	1.12275 	0.91465 	0.43085 	0.48970 	1.03285 	0.87555 	0.51745 	0.44015 	0.74420 	0.53905 	0.32015 	0.32970 	0.60305 	0.40520 	0.19695 	0.29105 	0.54090 	0.38750 	0.15220 	-0.02145 	0.23860 	0.23500 	-0.01630 	-0.02095 	-0.13930 
1.01550 	1.10960 	1.10210 	0.88570 	0.39250 	0.45530 	1.00890 	0.85775 	0.47490 	0.39085 	0.71205 	0.52755 	0.31460 	0.24565 	0.56200 	0.36810 	0.13980 	0.21360 	0.50765 	0.34910 	0.10435 	-0.07170 	0.21860 	0.19585 	-0.05475 	-0.03830 	-0.15845 
1.01620 	1.09045 	1.07610 	0.84930 	0.35330 	0.41635 	0.97810 	0.83070 	0.42810 	0.33510 	0.67390 	0.51025 	0.30395 	0.16195 	0.51600 	0.32675 	0.07825 	0.13720 	0.46875 	0.30545 	0.05300 	-0.12230 	0.19340 	0.15270 	-0.09605 	-0.05835 	-0.18020 
1.01110 	1.06350 	1.04555 	0.80685 	0.31485 	0.37540 	0.94145 	0.79520 	0.37935 	0.27555 	0.63075 	0.48735 	0.28765 	0.08065 	0.46565 	0.28185 	0.01400 	0.06310 	0.42465 	0.25720 	-0.00095 	-0.17260 	0.16325 	0.10610 	-0.13950 	-0.08095 	-0.20445 
1.00060 	1.03000 	1.01175 	0.76030 	0.27885 	0.33510 	0.90010 	0.75245 	0.33130 	0.21475 	0.58375 	0.45930 	0.26555 	0.00365 	0.41190 	0.23440 	-0.05100 	-0.00790 	0.37615 	0.20515 	-0.05660 	-0.22210 	0.12870 	0.05685 	-0.18420 	-0.10565 	-0.23075 
0.98520 	0.99160 	0.97615 	0.71200 	0.24680 	0.29775 	0.85565 	0.70440 	0.28655 	0.15490 	0.53435 	0.42710 	0.23830 	-0.06815 	0.35560 	0.18545 	-0.11480 	-0.07555 	0.32420 	0.15030 	-0.11285 	-0.27025 	0.09070 	0.00600 	-0.22920 	-0.13190 	-0.25840 
0.96565 	0.95025 	0.94025 	0.66410 	0.22010 	0.26485 	0.80985 	0.65315 	0.24730 	0.09755 	0.48410 	0.39210 	0.20675 	-0.13445 	0.29795 	0.13610 	-0.17555 	-0.14005 	0.26985 	0.09390 	-0.16880 	-0.31665 	0.05040 	-0.04555 	-0.27340 	-0.15900 	-0.28645 
0.94295 	0.90830 	0.90555 	0.61870 	0.19955 	0.23725 	0.76450 	0.60130 	0.21530 	0.04345 	0.43460 	0.35580 	0.17205 	-0.19550 	0.24005 	0.08780 	-0.23145 	-0.20200 	0.21425 	0.03710 	-0.22330 	-0.36095 	0.00910 	-0.09655 	-0.31580 	-0.18595 	-0.31335 
0.91830 	0.86825 	0.87345 	0.57750 	0.18560 	0.21475 	0.72130 	0.55135 	0.19160 	-0.00725 	0.38740 	0.32045 	0.13560 	-0.25190 	0.18315 	0.04170 	-0.28125 	-0.26185 	0.15865 	-0.01865 	-0.27540 	-0.40305 	-0.03160 	-0.14590 	-0.35540 	-0.21175 	-0.33770 
0.89320 	0.83245 	0.84515 	0.54195 	0.17860 	0.19710 	0.68195 	0.50600 	0.17680 	-0.05475 	0.34410 	0.28840 	0.09860 	-0.30400 	0.12860 	-0.00070 	-0.32370 	-0.31995 	0.10445 	-0.07200 	-0.32390 	-0.44260 	-0.07005 	-0.19230 	-0.39120 	-0.23505 	-0.35780 
0.86920 	0.80345 	0.82195 	0.51345 	0.17895 	0.18365 	0.64830 	0.46765 	0.17110 	-0.09930 	0.30635 	0.26220 	0.06250 	-0.35200 	0.07790 	-0.03785 	-0.35780 	-0.37605 	0.05325 	-0.12125 	-0.36750 	-0.47915 	-0.10445 	-0.23445 	-0.42210 	-0.25445 	-0.37160 
0.84815 	0.78360 	0.80535 	0.49355 	0.18730 	0.17415 	0.62215 	0.43870 	0.17450 	-0.14085 	0.27610 	0.24450 	0.02875 	-0.39565 	0.03285 	-0.06815 	-0.38250 	-0.42950 	0.00695 	-0.16445 	-0.40470 	-0.51200 	-0.13295 	-0.27080 	-0.44685 	-0.26840 	-0.37755 
