[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	120
[Rejected]	4927
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
0.88685 	1.07205 	1.19110 	1.16460 	1.24240 	1.15100 	1.14925 	1.09085 	0.87290 	1.12770 	1.22810 	1.16195 	0.90160 	0.78015 	1.09185 	1.19315 	1.16985 	0.93135 	0.93605 	1.04075 	1.08395 	0.57160 	0.73635 	0.74845 	0.73700 	0.33685 	0.09230 
0.94450 	1.12170 	1.25610 	1.22915 	1.27625 	1.18705 	1.20710 	1.15425 	0.91205 	1.22510 	1.26160 	1.20980 	0.94370 	0.82450 	1.10605 	1.21465 	1.20240 	0.92395 	0.94635 	1.05080 	1.09500 	0.58905 	0.72980 	0.74610 	0.73790 	0.32115 	0.07270 
0.99675 	1.15875 	1.31335 	1.28985 	1.30910 	1.21740 	1.25905 	1.21430 	0.95745 	1.31070 	1.29100 	1.25125 	0.98215 	0.86660 	1.11800 	1.23210 	1.23015 	0.90810 	0.95500 	1.05870 	1.10045 	0.60510 	0.72175 	0.74120 	0.73560 	0.30555 	0.05330 
1.04360 	1.18555 	1.36295 	1.34640 	1.34170 	1.24285 	1.30480 	1.27050 	1.00945 	1.38365 	1.31615 	1.28590 	1.01840 	0.90475 	1.12780 	1.24565 	1.25345 	0.88565 	0.96195 	1.06445 	1.10055 	0.62020 	0.71240 	0.73410 	0.73045 	0.28980 	0.03410 
1.08560 	1.20460 	1.40535 	1.39840 	1.37470 	1.26415 	1.34445 	1.32250 	1.06775 	1.44350 	1.33720 	1.31380 	1.05375 	0.93760 	1.13570 	1.25555 	1.27260 	0.85885 	0.96740 	1.06820 	1.09590 	0.63500 	0.70205 	0.72520 	0.72295 	0.27395 	0.01525 
1.12350 	1.21945 	1.44140 	1.44585 	1.40870 	1.28190 	1.37830 	1.37020 	1.13185 	1.48965 	1.35450 	1.33545 	1.08925 	0.96425 	1.14200 	1.26225 	1.28820 	0.83020 	0.97160 	1.07050 	1.08740 	0.64995 	0.69135 	0.71515 	0.71395 	0.25825 	-0.00270 
1.15810 	1.23335 	1.47190 	1.48860 	1.44370 	1.29645 	1.40690 	1.41340 	1.20035 	1.52205 	1.36830 	1.35195 	1.12535 	0.98435 	1.14700 	1.26620 	1.30050 	0.80190 	0.97500 	1.07175 	1.07610 	0.66565 	0.68075 	0.70460 	0.70380 	0.24285 	-0.01960 
1.19020 	1.24905 	1.49770 	1.52675 	1.47940 	1.30785 	1.43055 	1.45200 	1.27120 	1.54060 	1.37880 	1.36430 	1.16185 	0.99795 	1.15115 	1.26785 	1.31000 	0.77555 	0.97765 	1.07240 	1.06310 	0.68215 	0.67060 	0.69395 	0.69285 	0.22770 	-0.03540 
1.22020 	1.26885 	1.51940 	1.55980 	1.51500 	1.31600 	1.44960 	1.48570 	1.34170 	1.54530 	1.38610 	1.37350 	1.19800 	1.00520 	1.15430 	1.26750 	1.31655 	0.75255 	0.97965 	1.07265 	1.04900 	0.69920 	0.66080 	0.68320 	0.68085 	0.21245 	-0.05040 
1.24830 	1.29375 	1.53710 	1.58730 	1.54895 	1.32055 	1.46395 	1.51405 	1.40880 	1.53635 	1.39000 	1.38040 	1.23245 	1.00670 	1.15650 	1.26530 	1.32015 	0.73365 	0.98080 	1.07245 	1.03435 	0.71620 	0.65110 	0.67220 	0.66720 	0.19695 	-0.06510 
1.27425 	1.32375 	1.55075 	1.60850 	1.57945 	1.32095 	1.47340 	1.53630 	1.46940 	1.51395 	1.39010 	1.38545 	1.26325 	1.00330 	1.15735 	1.26120 	1.32075 	0.71970 	0.98080 	1.07155 	1.01935 	0.73255 	0.64110 	0.66050 	0.65135 	0.18090 	-0.07985 
1.29770 	1.35785 	1.55980 	1.62265 	1.60455 	1.31675 	1.47765 	1.55175 	1.52030 	1.47885 	1.38590 	1.38865 	1.28865 	0.99615 	1.15650 	1.25515 	1.31785 	0.71130 	0.97915 	1.06970 	1.00375 	0.74740 	0.63015 	0.64775 	0.63290 	0.16425 	-0.09490 
1.31810 	1.39400 	1.56370 	1.62900 	1.62225 	1.30785 	1.47600 	1.55935 	1.55885 	1.43190 	1.37675 	1.38955 	1.30685 	0.98655 	1.15320 	1.24670 	1.31100 	0.70865 	0.97515 	1.06615 	0.98735 	0.75990 	0.61770 	0.63350 	0.61150 	0.14715 	-0.11040 
1.33465 	1.42970 	1.56170 	1.62690 	1.63080 	1.29450 	1.46795 	1.55815 	1.58295 	1.37490 	1.36180 	1.38725 	1.31635 	0.97570 	1.14660 	1.23520 	1.29925 	0.71130 	0.96785 	1.06015 	0.96940 	0.76925 	0.60310 	0.61745 	0.58720 	0.12980 	-0.12605 
1.34650 	1.46190 	1.55305 	1.61600 	1.62940 	1.27735 	1.45280 	1.54720 	1.59140 	1.31005 	1.34050 	1.38045 	1.31650 	0.96450 	1.13550 	1.21980 	1.28160 	0.71825 	0.95610 	1.05060 	0.94915 	0.77445 	0.58545 	0.59905 	0.56015 	0.11245 	-0.14190 
1.35270 	1.48755 	1.53710 	1.59630 	1.61780 	1.25720 	1.43020 	1.52570 	1.58390 	1.24050 	1.31190 	1.36785 	1.30685 	0.95365 	1.11885 	1.19955 	1.25695 	0.72785 	0.93895 	1.03630 	0.92570 	0.77450 	0.56410 	0.57810 	0.53070 	0.09540 	-0.15760 
1.35245 	1.50370 	1.51340 	1.56835 	1.59610 	1.23475 	1.39975 	1.49355 	1.56095 	1.16965 	1.27565 	1.34830 	1.28780 	0.94320 	1.09555 	1.17330 	1.22450 	0.73830 	0.91505 	1.01620 	0.89845 	0.76870 	0.53845 	0.55420 	0.49950 	0.07885 	-0.17305 
1.34505 	1.50795 	1.48215 	1.53285 	1.56510 	1.21030 	1.36165 	1.45100 	1.52365 	1.10085 	1.23160 	1.32105 	1.25990 	0.93265 	1.06475 	1.14045 	1.18385 	0.74765 	0.88370 	0.98930 	0.86675 	0.75635 	0.50810 	0.52725 	0.46715 	0.06280 	-0.18820 
1.33025 	1.49890 	1.44360 	1.49100 	1.52550 	1.18390 	1.31640 	1.39895 	1.47345 	1.03660 	1.18005 	1.28595 	1.22400 	0.92085 	1.02590 	1.10030 	1.13520 	0.75410 	0.84440 	0.95495 	0.83045 	0.73695 	0.47285 	0.49705 	0.43430 	0.04735 	-0.20285 
1.30820 	1.47615 	1.39880 	1.44430 	1.47855 	1.15540 	1.26515 	1.33900 	1.41190 	0.97840 	1.12165 	1.24340 	1.18120 	0.90605 	0.97890 	1.05285 	1.07920 	0.75560 	0.79705 	0.91275 	0.78945 	0.71035 	0.43270 	0.46345 	0.40130 	0.03210 	-0.21725 
1.27965 	1.44045 	1.34920 	1.39455 	1.42595 	1.12450 	1.20935 	1.27335 	1.34130 	0.92640 	1.05760 	1.19465 	1.13265 	0.88610 	0.92410 	0.99830 	1.01710 	0.75040 	0.74200 	0.86285 	0.74395 	0.67650 	0.38780 	0.42635 	0.36840 	0.01685 	-0.23160 
1.24580 	1.39380 	1.29650 	1.34365 	1.36910 	1.09115 	1.15085 	1.20445 	1.26410 	0.87965 	0.98940 	1.14120 	1.07955 	0.85865 	0.86220 	0.93730 	0.95050 	0.73670 	0.67975 	0.80565 	0.69435 	0.63580 	0.33860 	0.38565 	0.33560 	0.00105 	-0.24630 
1.20825 	1.33905 	1.24265 	1.29325 	1.30960 	1.05540 	1.09150 	1.13465 	1.18300 	0.83670 	0.91870 	1.08495 	1.02295 	0.82150 	0.79435 	0.87105 	0.88090 	0.71290 	0.61145 	0.74200 	0.64135 	0.58880 	0.28565 	0.34165 	0.30280 	-0.01580 	-0.26140 
1.16860 	1.27970 	1.18960 	1.24465 	1.24835 	1.01770 	1.03310 	1.06605 	1.10025 	0.79575 	0.84710 	1.02755 	0.96365 	0.77305 	0.72180 	0.80060 	0.80980 	0.67785 	0.53825 	0.67295 	0.58550 	0.53620 	0.22955 	0.29440 	0.26985 	-0.03390 	-0.27690 
1.12870 	1.21950 	1.13890 	1.19875 	1.18615 	0.97870 	0.97715 	1.00035 	1.01780 	0.75575 	0.77610 	0.97060 	0.90225 	0.71260 	0.64605 	0.72720 	0.73810 	0.63120 	0.46140 	0.59960 	0.52750 	0.47895 	0.17120 	0.24460 	0.23680 	-0.05345 	-0.29215 
1.09025 	1.16230 	1.09215 	1.15610 	1.12345 	0.93935 	0.92490 	0.93840 	0.93705 	0.71635 	0.70700 	0.91510 	0.83960 	0.64085 	0.56840 	0.65220 	0.66645 	0.57390 	0.38235 	0.52325 	0.46790 	0.41810 	0.11150 	0.19270 	0.20385 	-0.07430 	-0.30645 
1.05475 	1.11190 	1.05065 	1.11705 	1.06085 	0.90055 	0.87745 	0.88105 	0.85920 	0.67800 	0.64100 	0.86185 	0.77650 	0.55995 	0.49045 	0.57655 	0.59540 	0.50800 	0.30265 	0.44530 	0.40715 	0.35500 	0.05165 	0.13980 	0.17140 	-0.09585 	-0.31855 
1.02405 	1.07160 	1.01585 	1.08210 	0.99950 	0.86340 	0.83580 	0.82905 	0.78590 	0.64175 	0.57940 	0.81180 	0.71425 	0.47355 	0.41380 	0.50150 	0.52550 	0.43675 	0.22400 	0.36725 	0.34585 	0.29150 	-0.00700 	0.08700 	0.14005 	-0.11725 	-0.32705 
0.99940 	1.04450 	0.98915 	1.05220 	0.94105 	0.82865 	0.80130 	0.78350 	0.71920 	0.60855 	0.52370 	0.76600 	0.65430 	0.38595 	0.34025 	0.42840 	0.45765 	0.36410 	0.14845 	0.29100 	0.28495 	0.22945 	-0.06285 	0.03580 	0.11070 	-0.13725 	-0.33035 
