[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	69
[Rejected]	4978
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
1.31680 	1.40505 	1.28740 	1.30035 	1.08100 	1.03445 	1.45340 	1.47970 	0.99315 	1.19730 	1.39000 	1.32020 	0.97380 	1.17610 	1.30845 	1.18910 	0.66240 	0.43215 	1.02195 	0.55255 	0.20840 	-0.15170 	0.00235 	-0.28920 	-0.34220 	-0.34100 	-0.06155 
1.33880 	1.40565 	1.32550 	1.35685 	1.14245 	1.10545 	1.51275 	1.54510 	1.07675 	1.35845 	1.46625 	1.38745 	1.06340 	1.27920 	1.42790 	1.29240 	0.73840 	0.57470 	1.14175 	0.67145 	0.29545 	-0.08115 	0.09270 	-0.20230 	-0.26175 	-0.29290 	-0.03720 
1.34975 	1.40150 	1.35345 	1.40465 	1.19950 	1.16790 	1.56140 	1.59950 	1.15240 	1.50705 	1.53320 	1.44605 	1.14375 	1.36675 	1.53920 	1.38800 	0.80825 	0.70840 	1.25535 	0.78635 	0.37950 	-0.00985 	0.17890 	-0.11885 	-0.18695 	-0.24785 	-0.02245 
1.35030 	1.39525 	1.37200 	1.44395 	1.25210 	1.22340 	1.59945 	1.64235 	1.21945 	1.64320 	1.59065 	1.49615 	1.21540 	1.43690 	1.64210 	1.47635 	0.87305 	0.82795 	1.36235 	0.89705 	0.46115 	0.06265 	0.26115 	-0.03845 	-0.11795 	-0.20535 	-0.01705 
1.34155 	1.38925 	1.38235 	1.47505 	1.30040 	1.27375 	1.62745 	1.67375 	1.27780 	1.76730 	1.63875 	1.53810 	1.27965 	1.48890 	1.73665 	1.55790 	0.93440 	0.92850 	1.46275 	1.00390 	0.54125 	0.13665 	0.34025 	0.03965 	-0.05450 	-0.16445 	-0.02010 
1.32455 	1.38460 	1.38550 	1.49835 	1.34425 	1.32035 	1.64595 	1.69410 	1.32780 	1.87925 	1.67765 	1.57270 	1.33805 	1.52245 	1.82305 	1.63340 	0.99410 	1.00600 	1.55660 	1.10705 	0.62045 	0.21220 	0.41695 	0.11625 	0.00395 	-0.12445 	-0.03035 
1.29985 	1.38105 	1.38190 	1.51400 	1.38310 	1.36335 	1.65525 	1.70370 	1.36990 	1.97785 	1.70740 	1.60035 	1.39190 	1.53700 	1.90130 	1.70325 	1.05325 	1.05715 	1.64385 	1.20645 	0.69905 	0.28870 	0.49190 	0.19185 	0.05775 	-0.08475 	-0.04680 
1.26765 	1.37720 	1.37180 	1.52200 	1.41615 	1.40165 	1.65540 	1.70315 	1.40490 	2.06060 	1.72790 	1.62180 	1.44225 	1.53190 	1.97105 	1.76755 	1.11270 	1.07950 	1.72420 	1.30160 	0.77720 	0.36500 	0.56550 	0.26650 	0.10705 	-0.04520 	-0.06825 
1.22790 	1.37075 	1.35495 	1.52220 	1.44290 	1.43340 	1.64650 	1.69335 	1.43380 	2.12415 	1.73905 	1.63780 	1.49015 	1.50650 	2.03200 	1.82655 	1.17275 	1.07185 	1.79720 	1.39200 	0.85480 	0.43985 	0.63780 	0.34010 	0.15230 	-0.00580 	-0.09360 
1.18080 	1.35905 	1.33150 	1.51500 	1.46360 	1.45685 	1.62910 	1.67615 	1.45805 	2.16525 	1.74135 	1.64960 	1.53660 	1.46060 	2.08435 	1.88060 	1.23360 	1.03495 	1.86300 	1.47735 	0.93215 	0.51225 	0.70930 	0.41265 	0.19405 	0.03390 	-0.12115 
1.12685 	1.33975 	1.30160 	1.50130 	1.47925 	1.47105 	1.60410 	1.65385 	1.47930 	2.18165 	1.73570 	1.65910 	1.58285 	1.39525 	2.12855 	1.93040 	1.29535 	0.97130 	1.92200 	1.55785 	1.00965 	0.58165 	0.78050 	0.48440 	0.23360 	0.07440 	-0.14910 
1.06685 	1.31070 	1.26595 	1.48210 	1.49135 	1.47565 	1.57290 	1.62925 	1.49895 	2.17240 	1.72370 	1.66835 	1.62990 	1.31260 	2.16545 	1.97690 	1.35830 	0.88550 	1.97490 	1.63380 	1.08770 	0.64820 	0.85215 	0.55610 	0.27250 	0.11660 	-0.17515 
1.00180 	1.27035 	1.22520 	1.45865 	1.50130 	1.47125 	1.53710 	1.60500 	1.51795 	2.13825 	1.70670 	1.67900 	1.67820 	1.21620 	2.19600 	2.02070 	1.42265 	0.78345 	2.02255 	1.70555 	1.16660 	0.71250 	0.92505 	0.62830 	0.31275 	0.16160 	-0.19665 
0.93240 	1.21765 	1.17975 	1.43160 	1.50985 	1.45850 	1.49790 	1.58285 	1.53645 	2.08115 	1.68600 	1.69205 	1.72690 	1.11060 	2.22105 	2.06210 	1.48805 	0.67195 	2.06560 	1.77335 	1.24610 	0.77545 	0.99975 	0.70170 	0.35600 	0.21020 	-0.21135 
0.85950 	1.15190 	1.12995 	1.40090 	1.51665 	1.43800 	1.45585 	1.56365 	1.55380 	2.00380 	1.66235 	1.70735 	1.77385 	1.00100 	2.24080 	2.10070 	1.55395 	0.55840 	2.10410 	1.83675 	1.32550 	0.83770 	1.07610 	0.77660 	0.40390 	0.26305 	-0.21715 
0.78360 	1.07315 	1.07560 	1.36625 	1.52060 	1.40995 	1.41140 	1.54685 	1.56925 	1.90930 	1.63590 	1.72380 	1.81570 	0.89310 	2.25510 	2.13550 	1.61905 	0.45000 	2.13765 	1.89515 	1.40345 	0.89960 	1.15365 	0.85285 	0.45730 	0.32030 	-0.21225 
0.70525 	0.98235 	1.01665 	1.32700 	1.52010 	1.37425 	1.36425 	1.53150 	1.58180 	1.80090 	1.60630 	1.73940 	1.84855 	0.79225 	2.26330 	2.16510 	1.68125 	0.35330 	2.16555 	1.94720 	1.47820 	0.96090 	1.23135 	0.93010 	0.51675 	0.38195 	-0.19550 
0.62505 	0.88140 	0.95305 	1.28255 	1.51360 	1.33070 	1.31410 	1.51590 	1.59095 	1.68210 	1.57310 	1.75200 	1.86860 	0.70360 	2.26445 	2.18770 	1.73850 	0.27440 	2.18660 	1.99150 	1.54780 	1.02100 	1.30805 	1.00755 	0.58225 	0.44770 	-0.16620 
0.54410 	0.77320 	0.88520 	1.23285 	1.50000 	1.27920 	1.26095 	1.49865 	1.59610 	1.55655 	1.53575 	1.75900 	1.87315 	0.63145 	2.25770 	2.20140 	1.78810 	0.21805 	2.19970 	2.02675 	1.61040 	1.07925 	1.38250 	1.08425 	0.65335 	0.51710 	-0.12425 
0.46330 	0.66140 	0.81405 	1.17820 	1.47880 	1.22005 	1.20485 	1.47830 	1.59685 	1.42750 	1.49390 	1.75820 	1.86065 	0.57890 	2.24225 	2.20470 	1.82770 	0.18760 	2.20375 	2.05155 	1.66455 	1.13450 	1.45345 	1.15920 	0.72905 	0.58970 	-0.07035 
0.38430 	0.55025 	0.74075 	1.11910 	1.45000 	1.15380 	1.14620 	1.45380 	1.59240 	1.29765 	1.44750 	1.74800 	1.83105 	0.54755 	2.21745 	2.19645 	1.85530 	0.18450 	2.19805 	2.06505 	1.70915 	1.18575 	1.51995 	1.23125 	0.80820 	0.66455 	-0.00585 
0.30845 	0.44420 	0.66695 	1.05655 	1.41400 	1.08190 	1.08575 	1.42430 	1.58165 	1.16910 	1.39670 	1.72725 	1.78555 	0.53775 	2.18320 	2.17595 	1.86990 	0.20890 	2.18230 	2.06685 	1.74405 	1.23220 	1.58120 	1.29960 	0.88925 	0.74075 	0.06735 
0.23730 	0.34740 	0.59455 	0.99145 	1.37145 	1.00600 	1.02450 	1.38955 	1.56350 	1.04380 	1.34215 	1.69585 	1.72655 	0.54920 	2.13980 	2.14330 	1.87160 	0.25980 	2.15675 	2.05725 	1.76965 	1.27345 	1.63705 	1.36370 	0.97095 	0.81735 	0.14700 
0.17255 	0.26360 	0.52565 	0.92510 	1.32305 	0.92845 	0.96385 	1.34980 	1.53705 	0.92350 	1.28485 	1.65445 	1.65715 	0.58065 	2.08795 	2.09940 	1.86160 	0.33565 	2.12220 	2.03730 	1.78740 	1.30975 	1.68775 	1.42340 	1.05230 	0.89360 	0.23090 
0.11555 	0.19575 	0.46225 	0.85880 	1.26950 	0.85175 	0.90515 	1.30560 	1.50160 	0.80975 	1.22620 	1.60440 	1.58055 	0.63080 	2.02900 	2.04570 	1.84210 	0.43490 	2.08000 	2.00860 	1.79920 	1.34180 	1.73405 	1.47915 	1.13285 	0.96895 	0.31690 
0.06770 	0.14560 	0.40650 	0.79400 	1.21145 	0.77800 	0.84975 	1.25800 	1.45700 	0.70375 	1.16735 	1.54730 	1.49955 	0.69760 	1.96400 	1.98365 	1.81540 	0.55580 	2.03145 	1.97310 	1.80710 	1.37060 	1.77675 	1.53145 	1.21245 	1.04300 	0.40330 
0.02965 	0.11365 	0.35965 	0.73180 	1.14950 	0.70900 	0.79870 	1.20815 	1.40360 	0.60605 	1.10950 	1.48470 	1.41655 	0.77845 	1.89395 	1.91465 	1.78365 	0.69615 	1.97785 	1.93240 	1.81285 	1.39730 	1.81640 	1.58105 	1.29120 	1.11535 	0.48835 
0.00160 	0.09855 	0.32240 	0.67305 	1.08415 	0.64555 	0.75225 	1.15680 	1.34180 	0.51665 	1.05275 	1.41770 	1.33340 	0.86980 	1.81905 	1.83950 	1.74860 	0.85315 	1.91970 	1.88765 	1.81745 	1.42265 	1.85330 	1.62815 	1.36890 	1.18525 	0.57055 
-0.01720 	0.09780 	0.29415 	0.61790 	1.01545 	0.58795 	0.70995 	1.10425 	1.27235 	0.43535 	0.99670 	1.34690 	1.25155 	0.96715 	1.73890 	1.75815 	1.71120 	1.02270 	1.85690 	1.83920 	1.82115 	1.44690 	1.88690 	1.67250 	1.44515 	1.25150 	0.64835 
