[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	69
[Rejected]	4978
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
1.71235 	1.50570 	1.43930 	1.59465 	1.76655 	1.55230 	1.51690 	1.62340 	1.54655 	1.22590 	1.66355 	1.36310 	1.43680 	1.00760 	1.35425 	1.42925 	0.97985 	0.70610 	0.88225 	0.72905 	0.27605 	0.04655 	-0.13565 	-0.30710 	-0.29550 	-0.41100 	-0.20505 
1.71440 	1.51795 	1.47250 	1.62365 	1.78075 	1.59105 	1.57135 	1.67735 	1.56765 	1.29950 	1.73680 	1.45390 	1.42875 	1.14425 	1.46675 	1.52205 	1.02095 	0.87940 	0.97985 	0.81635 	0.34625 	0.12470 	-0.07885 	-0.23655 	-0.22145 	-0.36575 	-0.17170 
1.70060 	1.50920 	1.49395 	1.64145 	1.78095 	1.61720 	1.61540 	1.72070 	1.57535 	1.36135 	1.79905 	1.53765 	1.40760 	1.27430 	1.57165 	1.60820 	1.05900 	1.03670 	1.07235 	0.89980 	0.41640 	0.20180 	-0.01960 	-0.16570 	-0.14875 	-0.32175 	-0.14360 
1.67235 	1.48160 	1.50445 	1.64915 	1.76775 	1.62845 	1.64960 	1.75455 	1.57095 	1.40805 	1.85030 	1.61500 	1.37560 	1.39230 	1.66840 	1.68775 	1.09455 	1.17205 	1.15935 	0.97925 	0.48615 	0.27640 	0.04240 	-0.09495 	-0.07825 	-0.27895 	-0.12160 
1.63145 	1.43880 	1.50550 	1.64830 	1.74275 	1.62355 	1.67490 	1.78060 	1.55650 	1.43725 	1.89125 	1.68685 	1.33610 	1.49335 	1.75680 	1.76115 	1.12825 	1.28110 	1.24090 	1.05475 	0.55480 	0.34730 	0.10745 	-0.02405 	-0.01015 	-0.23695 	-0.10590 
1.57980 	1.38475 	1.49835 	1.64030 	1.70735 	1.60180 	1.69225 	1.80035 	1.53425 	1.44785 	1.92230 	1.75385 	1.29240 	1.57350 	1.83665 	1.82845 	1.16005 	1.36070 	1.31695 	1.12615 	0.62165 	0.41325 	0.17595 	0.04685 	0.05555 	-0.19515 	-0.09600 
1.51865 	1.32350 	1.48380 	1.62595 	1.66270 	1.56345 	1.70210 	1.81460 	1.50575 	1.43985 	1.94370 	1.81590 	1.24700 	1.63010 	1.90720 	1.88930 	1.18920 	1.40930 	1.38705 	1.19275 	0.68520 	0.47300 	0.24715 	0.11745 	0.11875 	-0.15310 	-0.09150 
1.44900 	1.25850 	1.46230 	1.60550 	1.60965 	1.50925 	1.70415 	1.82305 	1.47195 	1.41415 	1.95500 	1.87205 	1.20170 	1.66210 	1.96765 	1.94255 	1.21440 	1.42670 	1.45045 	1.25360 	0.74375 	0.52530 	0.32035 	0.18735 	0.17940 	-0.11070 	-0.09120 
1.37180 	1.19285 	1.43385 	1.57890 	1.54900 	1.44090 	1.69795 	1.82490 	1.43345 	1.37260 	1.95570 	1.92035 	1.15765 	1.67025 	2.01690 	1.98695 	1.23425 	1.41425 	1.50630 	1.30755 	0.79540 	0.56920 	0.39440 	0.25615 	0.23755 	-0.06765 	-0.09405 
1.28795 	1.12915 	1.39870 	1.54625 	1.48210 	1.36090 	1.68310 	1.81880 	1.39065 	1.31760 	1.94540 	1.95880 	1.11570 	1.65740 	2.05440 	2.02115 	1.24805 	1.37510 	1.55420 	1.35385 	0.83905 	0.60450 	0.46835 	0.32360 	0.29350 	-0.02365 	-0.09840 
1.19885 	1.06945 	1.35730 	1.50805 	1.41060 	1.27250 	1.65955 	1.80360 	1.34395 	1.25220 	1.92440 	1.98535 	1.07710 	1.62760 	2.08015 	2.04460 	1.25590 	1.31355 	1.59420 	1.39235 	0.87450 	0.63210 	0.54175 	0.39015 	0.34775 	0.02195 	-0.10240 
1.10610 	1.01515 	1.31055 	1.46495 	1.33675 	1.17950 	1.62750 	1.77880 	1.29405 	1.17980 	1.89325 	1.99860 	1.04295 	1.58550 	2.09480 	2.05710 	1.25900 	1.23520 	1.62700 	1.42350 	0.90260 	0.65335 	0.61450 	0.45660 	0.40115 	0.07025 	-0.10405 
1.01130 	0.96690 	1.25935 	1.41805 	1.26285 	1.08530 	1.58775 	1.74415 	1.24170 	1.10370 	1.85310 	1.99765 	1.01445 	1.53520 	2.09945 	2.05930 	1.25870 	1.14625 	1.65360 	1.44825 	0.92495 	0.67025 	0.68700 	0.52415 	0.45470 	0.12230 	-0.10120 
0.91570 	0.92415 	1.20465 	1.36835 	1.19085 	0.99295 	1.54110 	1.70025 	1.18820 	1.02700 	1.80550 	1.98235 	0.99235 	1.47995 	2.09525 	2.05200 	1.25660 	1.05255 	1.67520 	1.46785 	0.94355 	0.68480 	0.75975 	0.59385 	0.50915 	0.17940 	-0.09175 
0.82050 	0.88540 	1.14700 	1.31660 	1.12225 	0.90445 	1.48850 	1.64800 	1.13455 	0.95205 	1.75165 	1.95315 	0.97710 	1.42130 	2.08335 	2.03600 	1.25350 	0.95950 	1.69265 	1.48320 	0.96040 	0.69875 	0.83315 	0.66655 	0.56520 	0.24235 	-0.07395 
0.72630 	0.84815 	1.08680 	1.26320 	1.05765 	0.82070 	1.43035 	1.58835 	1.08175 	0.88040 	1.69295 	1.91110 	0.96820 	1.35985 	2.06465 	2.01205 	1.24965 	0.87120 	1.70645 	1.49490 	0.97675 	0.71325 	0.90750 	0.74275 	0.62325 	0.31170 	-0.04625 
0.63340 	0.80940 	1.02415 	1.20850 	0.99665 	0.74190 	1.36740 	1.52255 	1.03005 	0.81280 	1.63050 	1.85770 	0.96450 	1.29505 	2.03970 	1.98080 	1.24465 	0.79045 	1.71675 	1.50320 	0.99340 	0.72880 	0.98270 	0.82250 	0.68350 	0.38760 	-0.00755 
0.54210 	0.76640 	0.95925 	1.15240 	0.93840 	0.66760 	1.30015 	1.45200 	0.97945 	0.74935 	1.56525 	1.79505 	0.96390 	1.22630 	2.00885 	1.94280 	1.23765 	0.71845 	1.72330 	1.50810 	1.01065 	0.74565 	1.05860 	0.90535 	0.74585 	0.46970 	0.04260 
0.45275 	0.71680 	0.89235 	1.09515 	0.88210 	0.59690 	1.22945 	1.37830 	0.92965 	0.68915 	1.49840 	1.72575 	0.96395 	1.15295 	1.97255 	1.89880 	1.22770 	0.65515 	1.72580 	1.50925 	1.02800 	0.76325 	1.13495 	0.99055 	0.81015 	0.55745 	0.10385 
0.36600 	0.65915 	0.82430 	1.03695 	0.82715 	0.52845 	1.15615 	1.30350 	0.88060 	0.63075 	1.43095 	1.65250 	0.96225 	1.07490 	1.93095 	1.84945 	1.21395 	0.59955 	1.72375 	1.50640 	1.04495 	0.78110 	1.21120 	1.07700 	0.87565 	0.64965 	0.17505 
0.28280 	0.59320 	0.75615 	0.97870 	0.77395 	0.46075 	1.08180 	1.22970 	0.83235 	0.57220 	1.36405 	1.57830 	0.95700 	0.99255 	1.88455 	1.79595 	1.19595 	0.54985 	1.71665 	1.49925 	1.06095 	0.79830 	1.28685 	1.16330 	0.94155 	0.74475 	0.25430 
0.20425 	0.52000 	0.68930 	0.92135 	0.72325 	0.39265 	1.00795 	1.15930 	0.78545 	0.51195 	1.29890 	1.50605 	0.94740 	0.90720 	1.83400 	1.73930 	1.17375 	0.50465 	1.70435 	1.48770 	1.07545 	0.81425 	1.36115 	1.24830 	1.00675 	0.84085 	0.33905 
0.13210 	0.44165 	0.62555 	0.86645 	0.67655 	0.32330 	0.93635 	1.09465 	0.74040 	0.44895 	1.23665 	1.43835 	0.93375 	0.82100 	1.78010 	1.68085 	1.14795 	0.46285 	1.68705 	1.47205 	1.08845 	0.82850 	1.43360 	1.33080 	1.07040 	0.93605 	0.42680 
0.06800 	0.36150 	0.56665 	0.81565 	0.63560 	0.25285 	0.86885 	1.03770 	0.69785 	0.38350 	1.17840 	1.37735 	0.91725 	0.73665 	1.72390 	1.62200 	1.12015 	0.42430 	1.66530 	1.45315 	1.10030 	0.84100 	1.50415 	1.41020 	1.13190 	1.02865 	0.51515 
0.01390 	0.28390 	0.51460 	0.77055 	0.60205 	0.18235 	0.80730 	0.99020 	0.65860 	0.31690 	1.12525 	1.32440 	0.89965 	0.65740 	1.66665 	1.56410 	1.09200 	0.38970 	1.64005 	1.43185 	1.11195 	0.85260 	1.57265 	1.48645 	1.19125 	1.11735 	0.60240 
-0.02855 	0.21330 	0.47100 	0.73250 	0.57685 	0.11365 	0.75305 	0.95305 	0.62350 	0.25105 	1.07800 	1.28005 	0.88280 	0.58635 	1.60925 	1.50820 	1.06550 	0.36060 	1.61235 	1.40945 	1.12475 	0.86430 	1.63940 	1.55980 	1.24855 	1.20135 	0.68730 
-0.05825 	0.15410 	0.43680 	0.70190 	0.56010 	0.04900 	0.70685 	0.92575 	0.59305 	0.18810 	1.03650 	1.24345 	0.86790 	0.52555 	1.55235 	1.45480 	1.04200 	0.33865 	1.58310 	1.38675 	1.13960 	0.87735 	1.70415 	1.63045 	1.30425 	1.27990 	0.76880 
-0.07500 	0.10980 	0.41215 	0.67825 	0.55110 	-0.00920 	0.66835 	0.90680 	0.56720 	0.12985 	1.00000 	1.21235 	0.85505 	0.47565 	1.49560 	1.40330 	1.02200 	0.32500 	1.55235 	1.36410 	1.15715 	0.89265 	1.76630 	1.69830 	1.35830 	1.35275 	0.84600 
-0.07945 	0.08235 	0.39590 	0.65990 	0.54815 	-0.05860 	0.63635 	0.89300 	0.54540 	0.07800 	0.96650 	1.18335 	0.84335 	0.43550 	1.43805 	1.35235 	1.00495 	0.31930 	1.51945 	1.34080 	1.17680 	0.91010 	1.82435 	1.76265 	1.41005 	1.41915 	0.91765 
