[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	114
[Rejected]	4933
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
0.39730 	0.02305 	-0.14555 	0.20120 	0.60720 	0.79950 	-0.14560 	0.00045 	0.54720 	0.57035 	-0.07445 	0.21020 	0.53865 	0.45270 	-0.34195 	-0.07780 	0.33975 	-0.18665 	-0.42395 	-0.45330 	-0.10455 	0.14680 	-0.51175 	-0.36600 	-0.00245 	-0.55370 	-0.56870 
0.38120 	0.00655 	-0.15180 	0.21050 	0.61660 	0.81445 	-0.13870 	0.00365 	0.53770 	0.57270 	-0.06320 	0.24510 	0.54205 	0.44045 	-0.31860 	-0.05505 	0.33400 	-0.16720 	-0.40200 	-0.43490 	-0.11260 	0.14145 	-0.53245 	-0.38010 	-0.01815 	-0.57725 	-0.59165 
0.37245 	0.00725 	-0.15095 	0.22440 	0.62225 	0.82880 	-0.12480 	0.01330 	0.52140 	0.58165 	-0.04490 	0.28415 	0.54085 	0.43865 	-0.28710 	-0.02465 	0.33595 	-0.13515 	-0.37055 	-0.40625 	-0.11015 	0.14570 	-0.54060 	-0.38295 	-0.02615 	-0.59050 	-0.60480 
0.37215 	0.02625 	-0.14175 	0.24390 	0.62505 	0.84255 	-0.10265 	0.03060 	0.50150 	0.59715 	-0.01875 	0.32795 	0.53645 	0.44800 	-0.24660 	0.01410 	0.34720 	-0.09035 	-0.32915 	-0.36660 	-0.09615 	0.16100 	-0.53525 	-0.37370 	-0.02510 	-0.59305 	-0.60730 
0.38080 	0.06310 	-0.12345 	0.26975 	0.62620 	0.85560 	-0.07170 	0.05655 	0.48165 	0.61890 	0.01600 	0.37685 	0.53060 	0.46855 	-0.19665 	0.06180 	0.36870 	-0.03330 	-0.27745 	-0.31555 	-0.06980 	0.18825 	-0.51575 	-0.35170 	-0.01400 	-0.58420 	-0.59865 
0.39830 	0.11580 	-0.09600 	0.30205 	0.62695 	0.86805 	-0.03180 	0.09125 	0.46530 	0.64590 	0.05940 	0.43050 	0.52480 	0.49970 	-0.13690 	0.11860 	0.40065 	0.03490 	-0.21550 	-0.25300 	-0.03080 	0.22770 	-0.48210 	-0.31670 	0.00795 	-0.56380 	-0.57825 
0.42380 	0.18075 	-0.06015 	0.34050 	0.62860 	0.88005 	0.01630 	0.13380 	0.45540 	0.67710 	0.11095 	0.48785 	0.52025 	0.54010 	-0.06795 	0.18380 	0.44230 	0.11245 	-0.14395 	-0.17955 	0.02030 	0.27835 	-0.43490 	-0.26930 	0.04075 	-0.53205 	-0.54610 
0.45565 	0.25330 	-0.01725 	0.38380 	0.63230 	0.89145 	0.07105 	0.18260 	0.45365 	0.71135 	0.16930 	0.54690 	0.51795 	0.58805 	0.00905 	0.25605 	0.49195 	0.19645 	-0.06385 	-0.09665 	0.08210 	0.33855 	-0.37545 	-0.21060 	0.08380 	-0.48970 	-0.50270 
0.49160 	0.32750 	0.03025 	0.42995 	0.63860 	0.90180 	0.13040 	0.23500 	0.46070 	0.74735 	0.23225 	0.60475 	0.51820 	0.64085 	0.09210 	0.33305 	0.54675 	0.28330 	0.02285 	-0.00620 	0.15215 	0.40525 	-0.30590 	-0.14265 	0.13530 	-0.43820 	-0.44925 
0.52880 	0.39710 	0.07935 	0.47635 	0.64750 	0.91000 	0.19125 	0.28795 	0.47610 	0.78340 	0.29720 	0.65835 	0.52075 	0.69525 	0.17865 	0.41190 	0.60345 	0.36880 	0.11380 	0.08890 	0.22735 	0.47500 	-0.22920 	-0.06825 	0.19260 	-0.37965 	-0.38760 
0.56410 	0.45610 	0.12685 	0.52000 	0.65815 	0.91430 	0.25040 	0.33820 	0.49830 	0.81770 	0.36110 	0.70420 	0.52470 	0.74720 	0.26545 	0.48920 	0.65810 	0.44880 	0.20610 	0.18545 	0.30410 	0.54360 	-0.14860 	0.00925 	0.25235 	-0.31675 	-0.32025 
0.59440 	0.49915 	0.16970 	0.55815 	0.66915 	0.91240 	0.30485 	0.38270 	0.52525 	0.84800 	0.42085 	0.73955 	0.52870 	0.79270 	0.34960 	0.56155 	0.70710 	0.51955 	0.29670 	0.28015 	0.37850 	0.60700 	-0.06790 	0.08610 	0.31075 	-0.25260 	-0.25020 
0.61705 	0.52265 	0.20520 	0.58825 	0.67870 	0.90225 	0.35190 	0.41940 	0.55435 	0.87165 	0.47385 	0.76245 	0.53125 	0.82785 	0.42800 	0.62625 	0.74735 	0.57850 	0.38270 	0.36985 	0.44720 	0.66170 	0.00955 	0.15885 	0.36405 	-0.19020 	-0.18040 
0.63020 	0.52495 	0.23165 	0.60870 	0.68515 	0.88190 	0.38965 	0.44680 	0.58305 	0.88615 	0.51830 	0.77215 	0.53120 	0.84960 	0.49855 	0.68120 	0.77660 	0.62450 	0.46185 	0.45215 	0.50735 	0.70485 	0.08075 	0.22425 	0.40880 	-0.13245 	-0.11375 
0.63285 	0.50630 	0.24820 	0.61855 	0.68730 	0.85050 	0.41710 	0.46450 	0.60885 	0.88860 	0.55300 	0.76905 	0.52780 	0.85600 	0.55970 	0.72530 	0.79370 	0.65765 	0.53235 	0.52505 	0.55700 	0.73455 	0.14340 	0.27990 	0.44220 	-0.08165 	-0.05265 
0.62495 	0.46920 	0.25490 	0.61780 	0.68410 	0.80775 	0.43415 	0.47240 	0.62950 	0.87670 	0.57765 	0.75435 	0.52085 	0.84610 	0.61070 	0.75830 	0.79835 	0.67900 	0.59310 	0.58765 	0.59510 	0.74985 	0.19605 	0.32410 	0.46235 	-0.03970 	0.00075 
0.60750 	0.41775 	0.25280 	0.60695 	0.67530 	0.75460 	0.44130 	0.47125 	0.64310 	0.84880 	0.59260 	0.72990 	0.51015 	0.82060 	0.65135 	0.78045 	0.79120 	0.69060 	0.64370 	0.63945 	0.62140 	0.75055 	0.23775 	0.35575 	0.46805 	-0.00775 	0.04475 
0.58225 	0.35740 	0.24345 	0.58745 	0.66100 	0.69260 	0.43995 	0.46215 	0.64855 	0.80435 	0.59880 	0.69795 	0.49570 	0.78120 	0.68235 	0.79280 	0.77320 	0.69440 	0.68410 	0.68060 	0.63620 	0.73715 	0.26850 	0.37475 	0.45900 	0.01355 	0.07825 
0.55150 	0.29440 	0.22905 	0.56110 	0.64185 	0.62440 	0.43185 	0.44670 	0.64530 	0.74455 	0.59770 	0.66055 	0.47765 	0.73080 	0.70445 	0.79620 	0.74595 	0.69265 	0.71470 	0.71160 	0.64010 	0.71070 	0.28870 	0.38135 	0.43575 	0.02435 	0.10070 
0.51775 	0.23480 	0.21205 	0.52985 	0.61845 	0.55320 	0.41900 	0.42660 	0.63345 	0.67195 	0.59080 	0.61965 	0.45615 	0.67255 	0.71865 	0.79195 	0.71075 	0.68670 	0.73630 	0.73325 	0.63410 	0.67245 	0.29925 	0.37640 	0.39950 	0.02525 	0.11205 
0.48325 	0.18400 	0.19455 	0.49560 	0.59140 	0.48210 	0.40330 	0.40370 	0.61345 	0.59045 	0.57975 	0.57705 	0.43165 	0.60960 	0.72615 	0.78085 	0.66905 	0.67705 	0.74945 	0.74635 	0.61910 	0.62400 	0.30130 	0.36115 	0.35190 	0.01760 	0.11315 
0.44975 	0.14585 	0.17840 	0.45995 	0.56075 	0.41365 	0.38630 	0.37965 	0.58555 	0.50470 	0.56585 	0.53400 	0.40485 	0.54410 	0.72780 	0.76365 	0.62215 	0.66330 	0.75485 	0.75170 	0.59600 	0.56720 	0.29625 	0.33700 	0.29520 	0.00295 	0.10540 
0.41825 	0.12285 	0.16480 	0.42400 	0.52650 	0.34955 	0.36935 	0.35575 	0.55010 	0.41945 	0.55030 	0.49195 	0.37710 	0.47735 	0.72450 	0.74115 	0.57135 	0.64420 	0.75315 	0.75010 	0.56580 	0.50415 	0.28540 	0.30580 	0.23185 	-0.01685 	0.09055 
0.38935 	0.11565 	0.15470 	0.38865 	0.48830 	0.29020 	0.35335 	0.33310 	0.50745 	0.33885 	0.53410 	0.45185 	0.34980 	0.40980 	0.71715 	0.71405 	0.51805 	0.61810 	0.74525 	0.74260 	0.52965 	0.43700 	0.27035 	0.26930 	0.16460 	-0.03970 	0.07075 
0.36315 	0.12355 	0.14860 	0.35450 	0.44610 	0.23525 	0.33920 	0.31240 	0.45800 	0.26585 	0.51815 	0.41470 	0.32455 	0.34125 	0.70665 	0.68335 	0.46350 	0.58380 	0.73195 	0.73010 	0.48890 	0.36775 	0.25250 	0.22950 	0.09615 	-0.06355 	0.04825 
0.33945 	0.14425 	0.14650 	0.32205 	0.40040 	0.18390 	0.32725 	0.29425 	0.40295 	0.20155 	0.50310 	0.38110 	0.30250 	0.27150 	0.69390 	0.64980 	0.40880 	0.54040 	0.71440 	0.71350 	0.44460 	0.29835 	0.23335 	0.18830 	0.02900 	-0.08655 	0.02515 
0.31775 	0.17445 	0.14830 	0.29165 	0.35180 	0.13520 	0.31795 	0.27885 	0.34410 	0.14555 	0.48940 	0.35140 	0.28465 	0.20075 	0.67950 	0.61430 	0.35465 	0.48810 	0.69350 	0.69380 	0.39790 	0.23005 	0.21385 	0.14735 	-0.03470 	-0.10710 	0.00315 
0.29720 	0.20985 	0.15330 	0.26355 	0.30165 	0.08855 	0.31125 	0.26605 	0.28390 	0.09605 	0.47725 	0.32565 	0.27100 	0.12990 	0.66410 	0.57760 	0.30150 	0.42765 	0.67015 	0.67155 	0.34970 	0.16380 	0.19485 	0.10770 	-0.09345 	-0.12405 	-0.01655 
0.27670 	0.24575 	0.16065 	0.23765 	0.25140 	0.04350 	0.30690 	0.25575 	0.22525 	0.05065 	0.46655 	0.30330 	0.26120 	0.06060 	0.64785 	0.54015 	0.24965 	0.36080 	0.64500 	0.64730 	0.30055 	0.09990 	0.17655 	0.07025 	-0.14635 	-0.13695 	-0.03315 
