[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	114
[Rejected]	4933
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
-0.05165 	-0.28045 	-0.44120 	-0.42475 	-0.22095 	-0.32700 	-0.47025 	-0.61490 	-0.35545 	-0.47670 	-0.30515 	-0.57455 	-0.46115 	-0.25545 	-0.55835 	-0.54240 	-0.52425 	-0.41490 	-0.63920 	-0.52940 	-0.62840 	-0.60470 	-0.75705 	-0.70180 	-0.73655 	-0.60980 	-0.43635 
-0.04385 	-0.29280 	-0.44890 	-0.41545 	-0.20430 	-0.34395 	-0.48110 	-0.61380 	-0.32100 	-0.48055 	-0.30190 	-0.58395 	-0.47545 	-0.20745 	-0.54555 	-0.53035 	-0.53115 	-0.32255 	-0.63545 	-0.51620 	-0.61555 	-0.62250 	-0.76520 	-0.70135 	-0.74530 	-0.63220 	-0.46940 
-0.03175 	-0.29075 	-0.44945 	-0.40430 	-0.19405 	-0.35650 	-0.48485 	-0.60775 	-0.29035 	-0.47165 	-0.29240 	-0.58805 	-0.48515 	-0.15970 	-0.52560 	-0.51195 	-0.52890 	-0.23120 	-0.62255 	-0.49490 	-0.59365 	-0.63355 	-0.76080 	-0.69125 	-0.74490 	-0.64550 	-0.49450 
-0.01485 	-0.27315 	-0.44185 	-0.39020 	-0.18850 	-0.36325 	-0.48030 	-0.59560 	-0.26345 	-0.44940 	-0.27565 	-0.58560 	-0.48850 	-0.11330 	-0.49770 	-0.48650 	-0.51700 	-0.14360 	-0.60005 	-0.46510 	-0.56280 	-0.63745 	-0.74355 	-0.67145 	-0.73485 	-0.64920 	-0.51065 
0.00700 	-0.24015 	-0.42510 	-0.37190 	-0.18545 	-0.36300 	-0.46635 	-0.57620 	-0.23980 	-0.41395 	-0.25095 	-0.57520 	-0.48375 	-0.06890 	-0.46135 	-0.45365 	-0.49520 	-0.06140 	-0.56760 	-0.42685 	-0.52335 	-0.63380 	-0.71360 	-0.64215 	-0.71480 	-0.64325 	-0.51745 
0.03370 	-0.19300 	-0.39890 	-0.34850 	-0.18250 	-0.35445 	-0.44230 	-0.54860 	-0.21850 	-0.36645 	-0.21750 	-0.55570 	-0.46920 	-0.02680 	-0.41630 	-0.41305 	-0.46355 	0.01460 	-0.52510 	-0.38025 	-0.47590 	-0.62200 	-0.67145 	-0.60350 	-0.68475 	-0.62740 	-0.51420 
0.06470 	-0.13430 	-0.36360 	-0.31930 	-0.17760 	-0.33695 	-0.40815 	-0.51230 	-0.19860 	-0.30885 	-0.17550 	-0.52650 	-0.44360 	0.01280 	-0.36275 	-0.36485 	-0.42235 	0.08435 	-0.47310 	-0.32595 	-0.42130 	-0.60165 	-0.61795 	-0.55595 	-0.64485 	-0.60175 	-0.50055 
0.09885 	-0.06775 	-0.32030 	-0.28435 	-0.16955 	-0.31020 	-0.36445 	-0.46750 	-0.17910 	-0.24390 	-0.12550 	-0.48745 	-0.40645 	0.04975 	-0.30145 	-0.30960 	-0.37255 	0.14805 	-0.41245 	-0.26505 	-0.36050 	-0.57240 	-0.55445 	-0.50020 	-0.59555 	-0.56660 	-0.47660 
0.13465 	0.00195 	-0.27105 	-0.24445 	-0.15790 	-0.27480 	-0.31250 	-0.41500 	-0.15940 	-0.17470 	-0.06880 	-0.43915 	-0.35770 	0.08405 	-0.23365 	-0.24840 	-0.31530 	0.20620 	-0.34455 	-0.19905 	-0.29495 	-0.53455 	-0.48295 	-0.43730 	-0.53790 	-0.52260 	-0.44270 
0.17010 	0.06955 	-0.21830 	-0.20105 	-0.14325 	-0.23230 	-0.25435 	-0.35635 	-0.13895 	-0.10500 	-0.00745 	-0.38310 	-0.29775 	0.11535 	-0.16145 	-0.18285 	-0.25255 	0.25910 	-0.27135 	-0.12990 	-0.22615 	-0.48860 	-0.40565 	-0.36865 	-0.47340 	-0.47105 	-0.40010 
0.20300 	0.13005 	-0.16515 	-0.15605 	-0.12655 	-0.18485 	-0.19270 	-0.29365 	-0.11765 	-0.03805 	0.05630 	-0.32100 	-0.22780 	0.14330 	-0.08715 	-0.11485 	-0.18630 	0.30705 	-0.19510 	-0.05970 	-0.15605 	-0.43580 	-0.32530 	-0.29605 	-0.40420 	-0.41375 	-0.35075 
0.23125 	0.17890 	-0.11450 	-0.11145 	-0.10905 	-0.13480 	-0.13020 	-0.22910 	-0.09575 	0.02345 	0.11975 	-0.25525 	-0.14920 	0.16775 	-0.01340 	-0.04665 	-0.11890 	0.35020 	-0.11830 	0.00915 	-0.08645 	-0.37780 	-0.24465 	-0.22175 	-0.33230 	-0.35285 	-0.29735 
0.25310 	0.21300 	-0.06890 	-0.06915 	-0.09185 	-0.08465 	-0.06965 	-0.16490 	-0.07335 	0.07770 	0.18065 	-0.18790 	-0.06410 	0.18875 	0.05730 	0.01975 	-0.05255 	0.38850 	-0.04320 	0.07475 	-0.01925 	-0.31635 	-0.16635 	-0.14780 	-0.26040 	-0.29090 	-0.24280 
0.26755 	0.23060 	-0.03015 	-0.03045 	-0.07545 	-0.03635 	-0.01315 	-0.10285 	-0.05080 	0.12375 	0.23695 	-0.12100 	0.02530 	0.20700 	0.12300 	0.08250 	0.01095 	0.42190 	0.02820 	0.13535 	0.04410 	-0.25310 	-0.09255 	-0.07620 	-0.19040 	-0.23020 	-0.19000 
0.27420 	0.23170 	0.00070 	0.00385 	-0.06005 	0.00830 	0.03750 	-0.04415 	-0.02800 	0.16140 	0.28725 	-0.05610 	0.11640 	0.22385 	0.18210 	0.14040 	0.07030 	0.45025 	0.09450 	0.19000 	0.10270 	-0.18960 	-0.02490 	-0.00850 	-0.12420 	-0.17290 	-0.14135 
0.27320 	0.21805 	0.02345 	0.03360 	-0.04530 	0.04830 	0.08150 	0.01070 	-0.00460 	0.19070 	0.33090 	0.00610 	0.20675 	0.24075 	0.23395 	0.19290 	0.12475 	0.47325 	0.15485 	0.23835 	0.15575 	-0.12710 	0.03575 	0.05405 	-0.06300 	-0.12055 	-0.09890 
0.26545 	0.19255 	0.03900 	0.05925 	-0.03050 	0.08315 	0.11870 	0.06210 	0.02010 	0.21250 	0.36810 	0.06580 	0.29395 	0.25920 	0.27845 	0.24025 	0.17420 	0.49075 	0.20910 	0.28080 	0.20350 	-0.06635 	0.08925 	0.11090 	-0.00735 	-0.07410 	-0.06370 
0.25240 	0.15955 	0.04885 	0.08195 	-0.01450 	0.11330 	0.14990 	0.11110 	0.04710 	0.22795 	0.39945 	0.12375 	0.37615 	0.28040 	0.31630 	0.28315 	0.21920 	0.50290 	0.25750 	0.31800 	0.24630 	-0.00780 	0.13625 	0.16215 	0.04285 	-0.03390 	-0.03635 
0.23590 	0.12385 	0.05510 	0.10310 	0.00395 	0.13955 	0.17625 	0.15880 	0.07735 	0.23865 	0.42610 	0.18115 	0.45150 	0.30490 	0.34865 	0.32295 	0.26070 	0.51040 	0.30095 	0.35140 	0.28515 	0.04895 	0.17805 	0.20830 	0.08840 	0.00040 	-0.01665 
0.21810 	0.09035 	0.05995 	0.12430 	0.02575 	0.16340 	0.19915 	0.20645 	0.11155 	0.24670 	0.44925 	0.23915 	0.51845 	0.33255 	0.37685 	0.36095 	0.29995 	0.51425 	0.34050 	0.38225 	0.32135 	0.10460 	0.21600 	0.25020 	0.13065 	0.02970 	-0.00375 
0.20085 	0.06335 	0.06535 	0.14685 	0.05140 	0.18645 	0.21990 	0.25445 	0.14970 	0.25400 	0.46995 	0.29830 	0.57570 	0.36240 	0.40225 	0.39845 	0.33840 	0.51545 	0.37710 	0.41180 	0.35600 	0.16005 	0.25185 	0.28885 	0.17090 	0.05475 	0.00335 
0.18550 	0.04620 	0.07295 	0.17160 	0.08085 	0.21040 	0.23940 	0.30275 	0.19120 	0.26165 	0.48890 	0.35845 	0.62230 	0.39260 	0.42600 	0.43620 	0.37720 	0.51480 	0.41160 	0.44095 	0.39010 	0.21610 	0.28675 	0.32520 	0.21045 	0.07670 	0.00575 
0.17315 	0.04080 	0.08380 	0.19900 	0.11365 	0.23695 	0.25840 	0.35085 	0.23510 	0.27025 	0.50665 	0.41900 	0.65790 	0.42110 	0.44890 	0.47460 	0.41735 	0.51240 	0.44490 	0.47030 	0.42425 	0.27315 	0.32150 	0.35970 	0.24990 	0.09610 	0.00455 
0.16425 	0.04785 	0.09845 	0.22925 	0.14920 	0.26735 	0.27730 	0.39800 	0.28065 	0.27955 	0.52350 	0.47870 	0.68295 	0.44565 	0.47165 	0.51380 	0.45940 	0.50800 	0.47740 	0.50015 	0.45870 	0.33125 	0.35660 	0.39280 	0.28965 	0.11340 	0.00040 
0.15900 	0.06675 	0.11730 	0.26250 	0.18720 	0.30260 	0.29665 	0.44375 	0.32725 	0.28895 	0.53985 	0.53670 	0.69880 	0.46440 	0.49495 	0.55360 	0.50350 	0.50105 	0.50970 	0.53075 	0.49345 	0.38990 	0.39215 	0.42455 	0.32965 	0.12895 	-0.00615 
0.15730 	0.09600 	0.14050 	0.29875 	0.22730 	0.34305 	0.31675 	0.48780 	0.37470 	0.29795 	0.55625 	0.59235 	0.70760 	0.47615 	0.51910 	0.59400 	0.54940 	0.49095 	0.54210 	0.56205 	0.52835 	0.44855 	0.42790 	0.45510 	0.36955 	0.14295 	-0.01450 
0.15855 	0.13300 	0.16780 	0.33775 	0.26920 	0.38810 	0.33800 	0.53045 	0.42285 	0.30645 	0.57310 	0.64530 	0.71165 	0.48045 	0.54460 	0.63485 	0.59685 	0.47740 	0.57495 	0.59405 	0.56320 	0.50640 	0.46350 	0.48430 	0.40890 	0.15550 	-0.02445 
