[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	79
[Rejected]	4968
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
0.64630 	0.62915 	0.79675 	0.78035 	0.64800 	0.56290 	0.57900 	0.54625 	0.71415 	0.37635 	0.22630 	0.02745 	0.18140 	0.62050 	-0.04480 	-0.16045 	-0.36200 	0.84380 	-0.33490 	-0.26560 	-0.61005 	-0.55255 	-1.21230 	-1.30170 	-1.14445 	-0.99730 	-0.64835 
0.66580 	0.65790 	0.81670 	0.79435 	0.67270 	0.59370 	0.59045 	0.55315 	0.74710 	0.42055 	0.22935 	0.02520 	0.18345 	0.72710 	-0.02440 	-0.14765 	-0.32160 	0.88170 	-0.30620 	-0.23735 	-0.58545 	-0.50655 	-1.16640 	-1.25735 	-1.10615 	-0.93230 	-0.58430 
0.68275 	0.67960 	0.82960 	0.80180 	0.68970 	0.62425 	0.59620 	0.55595 	0.77450 	0.45905 	0.23015 	0.02310 	0.18035 	0.83060 	-0.00310 	-0.13355 	-0.27610 	0.91975 	-0.27610 	-0.20635 	-0.55680 	-0.44950 	-1.11490 	-1.20535 	-1.06180 	-0.86085 	-0.51430 
0.69515 	0.69180 	0.83370 	0.80100 	0.69730 	0.65310 	0.59470 	0.55315 	0.79410 	0.49165 	0.22800 	0.01995 	0.17305 	0.92380 	0.01780 	-0.11995 	-0.22975 	0.95455 	-0.24575 	-0.17450 	-0.52720 	-0.38475 	-1.05930 	-1.14775 	-1.01335 	-0.78475 	-0.43995 
0.70145 	0.69220 	0.82745 	0.79070 	0.69425 	0.67840 	0.58465 	0.54350 	0.80375 	0.51840 	0.22210 	0.01435 	0.16265 	1.00020 	0.03700 	-0.10855 	-0.18655 	0.98135 	-0.21665 	-0.14375 	-0.49955 	-0.31655 	-1.00135 	-1.08660 	-0.96265 	-0.70595 	-0.36330 
0.70005 	0.67945 	0.80960 	0.76965 	0.67940 	0.69805 	0.56495 	0.52600 	0.80150 	0.53910 	0.21170 	0.00545 	0.15010 	1.05405 	0.05335 	-0.10090 	-0.15015 	0.99480 	-0.18965 	-0.11550 	-0.47615 	-0.24930 	-0.94240 	-1.02375 	-0.91130 	-0.62640 	-0.28645 
0.68960 	0.65300 	0.77975 	0.73715 	0.65205 	0.70965 	0.53530 	0.50050 	0.78610 	0.55315 	0.19690 	-0.00715 	0.13625 	1.08110 	0.06630 	-0.09755 	-0.12315 	0.98910 	-0.16535 	-0.09085 	-0.45830 	-0.18735 	-0.88345 	-0.96070 	-0.86045 	-0.54770 	-0.21115 
0.66935 	0.61330 	0.73785 	0.69300 	0.61210 	0.71105 	0.49590 	0.46705 	0.75685 	0.55940 	0.17790 	-0.02275 	0.12225 	1.07880 	0.07580 	-0.09860 	-0.10660 	0.95925 	-0.14360 	-0.07010 	-0.44625 	-0.13410 	-0.82480 	-0.89805 	-0.81070 	-0.47095 	-0.13860 
0.63900 	0.56160 	0.68465 	0.63780 	0.55990 	0.70080 	0.44765 	0.42660 	0.71390 	0.55675 	0.15570 	-0.04055 	0.10920 	1.04600 	0.08250 	-0.10295 	-0.10020 	0.90155 	-0.12370 	-0.05280 	-0.43905 	-0.09195 	-0.76650 	-0.83590 	-0.76220 	-0.39665 	-0.06910 
0.59890 	0.50010 	0.62140 	0.57240 	0.49680 	0.67810 	0.39185 	0.38035 	0.65815 	0.54450 	0.13130 	-0.05915 	0.09835 	0.98350 	0.08720 	-0.10935 	-0.10250 	0.81445 	-0.10475 	-0.03810 	-0.43520 	-0.06235 	-0.70790 	-0.77385 	-0.71455 	-0.32480 	-0.00245 
0.55000 	0.43135 	0.54985 	0.49855 	0.42465 	0.64330 	0.33010 	0.32945 	0.59125 	0.52210 	0.10610 	-0.07740 	0.09060 	0.89310 	0.09090 	-0.11625 	-0.11150 	0.69830 	-0.08585 	-0.02485 	-0.43270 	-0.04560 	-0.64845 	-0.71120 	-0.66730 	-0.25505 	0.06210 
0.49360 	0.35815 	0.47160 	0.41775 	0.34585 	0.59700 	0.26390 	0.27510 	0.51530 	0.48955 	0.08095 	-0.09445 	0.08660 	0.77825 	0.09455 	-0.12240 	-0.12510 	0.55555 	-0.06620 	-0.01220 	-0.43005 	-0.04130 	-0.58760 	-0.64755 	-0.62015 	-0.18725 	0.12500 
0.43140 	0.28320 	0.38865 	0.33210 	0.26310 	0.54050 	0.19465 	0.21840 	0.43300 	0.44705 	0.05665 	-0.10955 	0.08635 	0.64315 	0.09865 	-0.12675 	-0.14140 	0.39010 	-0.04540 	0.00055 	-0.42575 	-0.04865 	-0.52515 	-0.58260 	-0.57290 	-0.12115 	0.18620 
0.36510 	0.20895 	0.30260 	0.24335 	0.17895 	0.47525 	0.12355 	0.16020 	0.34660 	0.39485 	0.03360 	-0.12230 	0.08915 	0.49280 	0.10360 	-0.12875 	-0.15910 	0.20720 	-0.02350 	0.01385 	-0.41930 	-0.06665 	-0.46140 	-0.51670 	-0.52590 	-0.05720 	0.24500 
0.29620 	0.13710 	0.21475 	0.15300 	0.09535 	0.40295 	0.05145 	0.10110 	0.25795 	0.33355 	0.01180 	-0.13270 	0.09350 	0.33260 	0.10935 	-0.12815 	-0.17735 	0.01260 	-0.00090 	0.02750 	-0.41035 	-0.09415 	-0.39685 	-0.45035 	-0.47955 	0.00395 	0.30020 
0.22585 	0.06865 	0.12615 	0.06210 	0.01365 	0.32505 	-0.02125 	0.04130 	0.16850 	0.26395 	-0.00940 	-0.14095 	0.09730 	0.16780 	0.11555 	-0.12550 	-0.19590 	-0.18780 	0.02160 	0.04110 	-0.39925 	-0.13020 	-0.33255 	-0.38455 	-0.43430 	0.06140 	0.34970 
0.15465 	0.00375 	0.03725 	-0.02885 	-0.06530 	0.24290 	-0.09445 	-0.01920 	0.07875 	0.18725 	-0.03080 	-0.14765 	0.09800 	0.00340 	0.12135 	-0.12145 	-0.21515 	-0.38825 	0.04280 	0.05410 	-0.38665 	-0.17375 	-0.26960 	-0.32025 	-0.39085 	0.11385 	0.39160 
0.08275 	-0.05800 	-0.05165 	-0.11950 	-0.14135 	0.15725 	-0.16820 	-0.08055 	-0.01065 	0.10485 	-0.05350 	-0.15375 	0.09310 	-0.15605 	0.12590 	-0.11680 	-0.23550 	-0.58370 	0.06170 	0.06550 	-0.37340 	-0.22340 	-0.20920 	-0.25865 	-0.34925 	0.16045 	0.42395 
0.01020 	-0.11740 	-0.14025 	-0.20945 	-0.21415 	0.06885 	-0.24250 	-0.14280 	-0.09895 	0.01840 	-0.07830 	-0.16030 	0.08060 	-0.30640 	0.12860 	-0.11255 	-0.25740 	-0.76955 	0.07725 	0.07460 	-0.36040 	-0.27755 	-0.15225 	-0.20050 	-0.30955 	0.20045 	0.44555 
-0.06315 	-0.17545 	-0.22815 	-0.29815 	-0.28325 	-0.02125 	-0.31710 	-0.20585 	-0.18520 	-0.07015 	-0.10595 	-0.16825 	0.05905 	-0.44400 	0.12875 	-0.10960 	-0.28105 	-0.94190 	0.08885 	0.08085 	-0.34825 	-0.33420 	-0.09955 	-0.14630 	-0.27125 	0.23375 	0.45580 
-0.13685 	-0.23290 	-0.31450 	-0.38465 	-0.34800 	-0.11200 	-0.39145 	-0.26925 	-0.26805 	-0.15805 	-0.13675 	-0.17835 	0.02800 	-0.56550 	0.12625 	-0.10835 	-0.30605 	-1.09705 	0.09620 	0.08390 	-0.33730 	-0.39065 	-0.05120 	-0.09605 	-0.23345 	0.26075 	0.45525 
-0.21025 	-0.29020 	-0.39835 	-0.46760 	-0.40745 	-0.20185 	-0.46445 	-0.33200 	-0.34590 	-0.24190 	-0.17025 	-0.19095 	-0.01190 	-0.66775 	0.12140 	-0.10895 	-0.33145 	-1.23130 	0.09975 	0.08400 	-0.32740 	-0.44385 	-0.00685 	-0.04940 	-0.19510 	0.28255 	0.44530 
-0.28230 	-0.34745 	-0.47795 	-0.54520 	-0.45990 	-0.28870 	-0.53455 	-0.39270 	-0.41685 	-0.31785 	-0.20540 	-0.20570 	-0.05900 	-0.74770 	0.11500 	-0.11115 	-0.35550 	-1.34100 	0.10040 	0.08195 	-0.31755 	-0.49040 	0.03435 	-0.00530 	-0.15455 	0.30075 	0.42830 
-0.35130 	-0.40405 	-0.55160 	-0.61555 	-0.50385 	-0.37045 	-0.59970 	-0.44940 	-0.47880 	-0.38225 	-0.24065 	-0.22150 	-0.11100 	-0.80265 	0.10815 	-0.11385 	-0.37595 	-1.42255 	0.09955 	0.07890 	-0.30640 	-0.52685 	0.07390 	0.03770 	-0.11010 	0.31745 	0.40720 
-0.41545 	-0.45920 	-0.61735 	-0.67665 	-0.53750 	-0.44470 	-0.65785 	-0.50020 	-0.52995 	-0.43170 	-0.27395 	-0.23640 	-0.16500 	-0.83035 	0.10255 	-0.11595 	-0.39025 	-1.47245 	0.09910 	0.07670 	-0.29215 	-0.54980 	0.11345 	0.08110 	-0.06005 	0.33485 	0.38525 
-0.47285 	-0.51165 	-0.67340 	-0.72685 	-0.55970 	-0.50925 	-0.70680 	-0.54295 	-0.56925 	-0.46385 	-0.30315 	-0.24830 	-0.21835 	-0.82935 	0.09975 	-0.11590 	-0.39615 	-1.48795 	0.10065 	0.07695 	-0.27290 	-0.55640 	0.15475 	0.12660 	-0.00315 	0.35515 	0.36550 
-0.52155 	-0.56000 	-0.71845 	-0.76530 	-0.57010 	-0.56195 	-0.74485 	-0.57620 	-0.59640 	-0.47770 	-0.32615 	-0.25540 	-0.26915 	-0.79940 	0.10100 	-0.11245 	-0.39210 	-1.46730 	0.10575 	0.08110 	-0.24735 	-0.54465 	0.19925 	0.17545 	0.06110 	0.38005 	0.35055 
