[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	79
[Rejected]	4968
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
0.57185 	0.66635 	0.82420 	0.62960 	0.58340 	0.78435 	0.74655 	0.40650 	0.53075 	0.66455 	0.36545 	0.66620 	0.43320 	0.57500 	0.27115 	0.29640 	0.53155 	0.52380 	0.10015 	0.10030 	0.38880 	0.16750 	-0.00595 	-0.12885 	-0.09085 	-0.30240 	-0.30745 
0.56710 	0.68560 	0.83170 	0.63285 	0.57665 	0.77235 	0.75625 	0.42885 	0.50825 	0.60285 	0.38210 	0.68515 	0.43835 	0.56495 	0.30105 	0.32650 	0.53040 	0.56165 	0.14385 	0.14035 	0.41975 	0.19435 	0.06825 	-0.06010 	-0.05065 	-0.23750 	-0.24565 
0.55990 	0.70010 	0.83275 	0.63165 	0.56730 	0.75600 	0.76075 	0.45040 	0.48265 	0.54180 	0.39390 	0.69990 	0.44580 	0.55595 	0.32815 	0.35280 	0.52575 	0.58895 	0.18625 	0.17945 	0.44805 	0.21990 	0.14480 	0.01225 	-0.00950 	-0.16895 	-0.18030 
0.54940 	0.70765 	0.82585 	0.62540 	0.55535 	0.73480 	0.75885 	0.46985 	0.45435 	0.48325 	0.39975 	0.70950 	0.45385 	0.54785 	0.35175 	0.37480 	0.51780 	0.60545 	0.22670 	0.21690 	0.47400 	0.24385 	0.22255 	0.08745 	0.03255 	-0.09760 	-0.11190 
0.53485 	0.70645 	0.80975 	0.61355 	0.54100 	0.70800 	0.74970 	0.48610 	0.42390 	0.42875 	0.39910 	0.71345 	0.46080 	0.54025 	0.37140 	0.39235 	0.50730 	0.61150 	0.26440 	0.25210 	0.49810 	0.26635 	0.30015 	0.16475 	0.07555 	-0.02415 	-0.04115 
0.51555 	0.69530 	0.78360 	0.59605 	0.52455 	0.67490 	0.73255 	0.49840 	0.39240 	0.37925 	0.39175 	0.71195 	0.46550 	0.53230 	0.38700 	0.40575 	0.49530 	0.60810 	0.29915 	0.28495 	0.52125 	0.28745 	0.37645 	0.24350 	0.11965 	0.05070 	0.03150 
0.49115 	0.67340 	0.74725 	0.57300 	0.50610 	0.63535 	0.70750 	0.50635 	0.36085 	0.33520 	0.37815 	0.70585 	0.46720 	0.52340 	0.39890 	0.41580 	0.48300 	0.59660 	0.33090 	0.31570 	0.54435 	0.30745 	0.45060 	0.32300 	0.16510 	0.12650 	0.10560 
0.46180 	0.64110 	0.70120 	0.54505 	0.48575 	0.58955 	0.67475 	0.51020 	0.33070 	0.29680 	0.35940 	0.69650 	0.46595 	0.51250 	0.40785 	0.42380 	0.47215 	0.57890 	0.36020 	0.34490 	0.56850 	0.32670 	0.52220 	0.40285 	0.21220 	0.20320 	0.18065 
0.42795 	0.59920 	0.64645 	0.51295 	0.46355 	0.53835 	0.63530 	0.51015 	0.30315 	0.26415 	0.33685 	0.68535 	0.46225 	0.49925 	0.41490 	0.43110 	0.46415 	0.55730 	0.38775 	0.37345 	0.59460 	0.34550 	0.59085 	0.48265 	0.26120 	0.28040 	0.25600 
0.39060 	0.54920 	0.58460 	0.47775 	0.43960 	0.48315 	0.59015 	0.50670 	0.27915 	0.23720 	0.31230 	0.67380 	0.45675 	0.48335 	0.42115 	0.43910 	0.46025 	0.53430 	0.41435 	0.40215 	0.62315 	0.36410 	0.65655 	0.56185 	0.31200 	0.35795 	0.33085 
0.35070 	0.49320 	0.51735 	0.44050 	0.41400 	0.42550 	0.54050 	0.50030 	0.25930 	0.21580 	0.28720 	0.66290 	0.45020 	0.46480 	0.42755 	0.44860 	0.46110 	0.51215 	0.44085 	0.43150 	0.65440 	0.38265 	0.71915 	0.63985 	0.36445 	0.43510 	0.40435 
0.30930 	0.43325 	0.44645 	0.40190 	0.38675 	0.36685 	0.48755 	0.49105 	0.24350 	0.19950 	0.26265 	0.65275 	0.44285 	0.44375 	0.43465 	0.46000 	0.46660 	0.49290 	0.46750 	0.46175 	0.68775 	0.40105 	0.77835 	0.71555 	0.41770 	0.51100 	0.47540 
0.26735 	0.37145 	0.37345 	0.36245 	0.35790 	0.30855 	0.43215 	0.47895 	0.23090 	0.18710 	0.23940 	0.64305 	0.43465 	0.42030 	0.44275 	0.47320 	0.47595 	0.47745 	0.49435 	0.49255 	0.72185 	0.41885 	0.83355 	0.78760 	0.47075 	0.58450 	0.54285 
0.22540 	0.30960 	0.29940 	0.32235 	0.32700 	0.25145 	0.37510 	0.46355 	0.22055 	0.17705 	0.21760 	0.63275 	0.42535 	0.39420 	0.45155 	0.48720 	0.48765 	0.46600 	0.52095 	0.52310 	0.75510 	0.43580 	0.88400 	0.85430 	0.52215 	0.65425 	0.60565 
0.18385 	0.24885 	0.22520 	0.28115 	0.29350 	0.19595 	0.31650 	0.44415 	0.21095 	0.16745 	0.19700 	0.62010 	0.41420 	0.36525 	0.46030 	0.50070 	0.49985 	0.45735 	0.54620 	0.55190 	0.78485 	0.45115 	0.92840 	0.91385 	0.57025 	0.71860 	0.66240 
0.14250 	0.18990 	0.15120 	0.23820 	0.25660 	0.14195 	0.25645 	0.41965 	0.20045 	0.15625 	0.17695 	0.60320 	0.40040 	0.33270 	0.46805 	0.51200 	0.51000 	0.44945 	0.56880 	0.57730 	0.80870 	0.46445 	0.96530 	0.96415 	0.61315 	0.77580 	0.71165 
0.10095 	0.13280 	0.07730 	0.19235 	0.21540 	0.08890 	0.19465 	0.38905 	0.18745 	0.14190 	0.15640 	0.58025 	0.38300 	0.29585 	0.47355 	0.51930 	0.51610 	0.43980 	0.58720 	0.59740 	0.82395 	0.47495 	0.99315 	1.00320 	0.64910 	0.82395 	0.75145 
0.05870 	0.07710 	0.00350 	0.14260 	0.16905 	0.03635 	0.13090 	0.35125 	0.17055 	0.12335 	0.13460 	0.54960 	0.36075 	0.25400 	0.47580 	0.52120 	0.51620 	0.42575 	0.60000 	0.61080 	0.82845 	0.48210 	1.01065 	1.02965 	0.67665 	0.86145 	0.78040 
0.01520 	0.02210 	-0.07050 	0.08805 	0.11695 	-0.01625 	0.06490 	0.30590 	0.14895 	0.10065 	0.11080 	0.51040 	0.33305 	0.20710 	0.47395 	0.51670 	0.50910 	0.40525 	0.60630 	0.61635 	0.82100 	0.48550 	1.01675 	1.04250 	0.69490 	0.88715 	0.79725 
-0.02975 	-0.03300 	-0.14435 	0.02850 	0.05905 	-0.06895 	-0.00310 	0.25305 	0.12245 	0.07485 	0.08460 	0.46230 	0.29965 	0.15565 	0.46760 	0.50540 	0.49410 	0.37705 	0.60550 	0.61365 	0.80130 	0.48485 	1.01105 	1.04160 	0.70380 	0.90055 	0.80150 
-0.07640 	-0.08865 	-0.21775 	-0.03575 	-0.00395 	-0.12155 	-0.07240 	0.19355 	0.09150 	0.04795 	0.05625 	0.40600 	0.26115 	0.10085 	0.45705 	0.48760 	0.47140 	0.34110 	0.59780 	0.60300 	0.77005 	0.48035 	0.99395 	1.02760 	0.70410 	0.90200 	0.79380 
-0.12430 	-0.14505 	-0.28965 	-0.10345 	-0.07070 	-0.17320 	-0.14195 	0.12890 	0.05705 	0.02265 	0.02640 	0.34285 	0.21850 	0.04445 	0.44290 	0.46440 	0.44150 	0.29850 	0.58400 	0.58535 	0.72900 	0.47240 	0.96645 	1.00210 	0.69730 	0.89290 	0.77540 
-0.17285 	-0.20205 	-0.35895 	-0.17285 	-0.13915 	-0.22250 	-0.21015 	0.06130 	0.02020 	0.00200 	-0.00380 	0.27475 	0.17355 	-0.01180 	0.42650 	0.43720 	0.40580 	0.25140 	0.56555 	0.56225 	0.68055 	0.46155 	0.93035 	0.96710 	0.68540 	0.87495 	0.74845 
-0.22080 	-0.25890 	-0.42395 	-0.24160 	-0.20675 	-0.26735 	-0.27510 	-0.00695 	-0.01780 	-0.01175 	-0.03275 	0.20405 	0.12835 	-0.06580 	0.40940 	0.40795 	0.36575 	0.20280 	0.54420 	0.53555 	0.62765 	0.44890 	0.88780 	0.92515 	0.67050 	0.85055 	0.71550 
-0.26705 	-0.31460 	-0.48295 	-0.30730 	-0.27100 	-0.30565 	-0.33460 	-0.07300 	-0.05585 	-0.01705 	-0.05855 	0.13335 	0.08530 	-0.11590 	0.39340 	0.37870 	0.32305 	0.15570 	0.52210 	0.50735 	0.57315 	0.43540 	0.84110 	0.87890 	0.65460 	0.82200 	0.67875 
-0.31005 	-0.36775 	-0.53415 	-0.36720 	-0.32915 	-0.33510 	-0.38660 	-0.13415 	-0.09285 	-0.01360 	-0.07915 	0.06535 	0.04680 	-0.16075 	0.38045 	0.35150 	0.27945 	0.11285 	0.50110 	0.47975 	0.51970 	0.42215 	0.79245 	0.83065 	0.63905 	0.79145 	0.64055 
-0.34880 	-0.41700 	-0.57605 	-0.41915 	-0.37900 	-0.35430 	-0.42925 	-0.18785 	-0.12755 	-0.00260 	-0.09275 	0.00295 	0.01470 	-0.19970 	0.37200 	0.32825 	0.23690 	0.07605 	0.48315 	0.45450 	0.46945 	0.41000 	0.74380 	0.78240 	0.62455 	0.76040 	0.60240 
-0.38240 	-0.46120 	-0.60785 	-0.46150 	-0.41860 	-0.36290 	-0.46150 	-0.23195 	-0.15900 	0.01350 	-0.09805 	-0.05145 	-0.00985 	-0.23290 	0.36915 	0.31025 	0.19695 	0.04590 	0.46930 	0.43285 	0.42390 	0.39945 	0.69655 	0.73540 	0.61120 	0.72985 	0.56535 
-0.41065 	-0.49970 	-0.62935 	-0.49320 	-0.44720 	-0.36205 	-0.48290 	-0.26555 	-0.18665 	0.03100 	-0.09470 	-0.09610 	-0.02690 	-0.26140 	0.37215 	0.29835 	0.16070 	0.02135 	0.46005 	0.41540 	0.38360 	0.39055 	0.65140 	0.69020 	0.59850 	0.70010 	0.52975 
